memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;75559;7555;0;823;179750;22297;14437.20
7;t;GET;20;69043;6904;0;1506;242891;24420;22115.88
7;t;GET;30;62929;6292;0;614;2022061;26650;70497.15
7;t;GET;40;68066;6806;0;1223;2857991;24902;33324.36
7;t;GET;50;70496;7049;0;1585;328315;23947;23295.56
7;t;GET;60;62230;6223;0;1133;1069130;27016;59455.92
7;t;GET;70;68494;6849;0;1271;981962;24690;38657.79
7;t;GET;80;62434;6243;0;1342;1770603;27025;60057.89
7;t;GET;90;71160;7116;0;1233;309686;23708;23676.12
7;t;GET;100;69536;6953;0;1043;945485;24256;47702.45
7;t;GET;110;70598;7059;0;1046;467627;23803;27373.89
7;t;GET;120;60212;6021;0;629;2882097;28101;88856.69
7;t;GET;130;71677;7167;0;1349;337794;23516;21064.36
7;t;GET;140;71619;7161;0;874;336162;23555;24299.99
7;t;GET;150;66321;6632;0;824;1076042;25444;54202.89
7;t;GET;160;66575;6657;0;1106;969259;25319;34019.45
7;t;GET;170;50380;5038;0;1210;3078768;33588;109389.31
7;t;GET;180;71728;7172;0;970;325870;23602;24918.89
7;t;GET;190;69167;6916;0;950;677389;24483;34969.14
7;t;GET;200;73842;7384;0;659;254579;22921;18756.74
7;t;GET;210;59853;5985;0;988;2596150;28291;67786.99
7;t;GET;220;60602;6060;0;1695;1408048;27916;76619.59
7;t;GET;230;67434;6743;0;748;655939;24996;40256.21
7;t;GET;240;66866;6686;0;954;555886;25213;33557.38
7;t;GET;250;59702;5970;0;889;867101;28266;48178.15
7;t;GET;260;52689;5268;0;956;2164904;31997;85725.74
7;t;GET;270;59252;5925;0;809;1554783;28394;68210.33
7;t;GET;280;47722;4772;0;1166;3119514;35413;144652.13
7;t;GET;290;60264;6026;0;1272;584415;28014;48898.45
7;t;GET;300;61213;6121;0;1534;2376724;27545;77277.57
7;t;GET;310;71874;7187;0;755;317851;23431;23569.23
7;t;GET;320;58711;5871;0;793;1005374;28489;43230.24
7;t;GET;330;74149;7414;0;873;391628;22971;25078.84
7;t;GET;340;62319;6231;0;1655;541478;27055;45434.74
7;t;GET;350;64067;6406;0;1279;509375;26325;36756.84
7;t;GET;360;50855;5085;0;1491;2570566;33053;137096.11
7;t;GET;360;50855;5085;0;1491;2570566;33053;137096.11
7;global;GET;361.7;50855;5085;0;614;3119514;26079;56232
8;t;GET;10;73675;7367;0;1059;184113;22856;14471.61
