memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;61411;6141;0;754;1151778;15672;27859.36
7;t;GET;20;68948;6894;0;822;218515;13981;13858.22
7;t;GET;30;50461;5046;0;528;2785315;18949;70962.35
7;t;GET;40;68805;6880;0;693;313653;14118;15809.05
7;t;GET;50;67781;6778;0;784;453456;14217;18976.95
7;t;GET;60;50232;5023;0;711;624745;18814;43497.61
7;t;GET;70;64272;6427;0;685;897347;15286;28621.85
7;t;GET;80;65238;6523;0;777;279800;14763;17492.62
7;t;GET;90;65958;6595;0;848;536840;14614;24135.70
7;t;GET;100;65108;6510;0;636;247459;14689;14162.02
7;t;GET;110;60427;6042;0;934;509032;16060;30023.83
7;t;GET;120;60642;6064;0;672;544849;15896;29757.08
7;t;GET;130;71824;7182;0;680;227827;13424;11945.18
7;t;GET;140;66211;6621;0;420;379467;14540;17486.16
7;t;GET;150;47678;4767;0;610;3762852;20239;115584.38
7;t;GET;160;63075;6307;0;732;526858;15277;22469.44
7;t;GET;170;66009;6600;0;593;222756;14587;15147.73
7;t;GET;180;45682;4568;0;717;1762512;21115;70507.98
7;t;GET;190;62379;6237;0;826;585878;15425;24420.70
7;t;GET;200;54983;5498;0;754;577468;17556;31223.46
7;t;GET;210;60042;6004;0;850;477235;16043;23425.44
7;t;GET;220;70519;7051;0;935;308983;13669;14274.37
7;t;GET;230;58022;5802;0;869;383006;16608;27545.10
7;t;GET;240;70814;7081;0;794;178717;13527;10534.69
7;t;GET;250;61150;6115;0;573;974190;15702;31375.05
7;t;GET;260;57187;5718;0;635;1581008;17197;68485.31
7;t;GET;270;71945;7194;0;460;210065;13447;10350.73
7;t;GET;280;58308;5830;0;904;710151;16596;35287.42
7;t;GET;290;67867;6786;0;487;393011;14025;18045.68
7;t;GET;300;69901;6990;0;546;370543;14060;16512.22
7;t;GET;310;64866;6486;0;857;1940015;14923;43026.78
7;t;GET;320;71197;7119;0;599;128899;13579;8191.06
7;t;GET;330;52941;5294;0;835;1791224;18280;76007.58
7;t;GET;340;61657;6165;0;817;452344;15690;20156.37
7;t;GET;350;60421;6042;0;788;324165;16013;24649.68
