type,flag,timeCreated,timeEnqueued,timeDequeued,timeForwarded,timeReceived,timeReturned
SET,STORED,1478639945394,1478639945394,1478639945406,1478639945406,1478639945414,1478639945415
SET,STORED,1478639945451,1478639945451,1478639945493,1478639945493,1478639945495,1478639945495
SET,STORED,1478639945484,1478639945484,1478639945561,1478639945561,1478639945610,1478639945610
SET,STORED,1478639945534,1478639945534,1478639945640,1478639945640,1478639945660,1478639945660
SET,STORED,1478639945665,1478639945665,1478639945688,1478639945688,1478639945689,1478639945689
SET,STORED,1478639945561,1478639945561,1478639945676,1478639945676,1478639945695,1478639945695
SET,STORED,1478639945713,1478639945713,1478639945722,1478639945722,1478639945739,1478639945739
SET,STORED,1478639945619,1478639945619,1478639945783,1478639945783,1478639945785,1478639945785
SET,STORED,1478639945798,1478639945798,1478639945804,1478639945804,1478639945804,1478639945805
SET,STORED,1478639945836,1478639945836,1478639945848,1478639945848,1478639945857,1478639945857
SET,STORED,1478639945882,1478639945882,1478639945885,1478639945885,1478639945886,1478639945886
SET,STORED,1478639945751,1478639945751,1478639945915,1478639945915,1478639945917,1478639945917
SET,STORED,1478639945920,1478639945920,1478639945925,1478639945925,1478639945932,1478639945932
SET,STORED,1478639945966,1478639945966,1478639945971,1478639945971,1478639945971,1478639945971
SET,STORED,1478639945998,1478639945998,1478639946010,1478639946010,1478639946010,1478639946010
SET,STORED,1478639946018,1478639946018,1478639946026,1478639946026,1478639946026,1478639946026
SET,STORED,1478639946045,1478639946045,1478639946056,1478639946056,1478639946056,1478639946056
SET,STORED,1478639946066,1478639946066,1478639946071,1478639946071,1478639946071,1478639946071
SET,STORED,1478639946149,1478639946149,1478639946152,1478639946152,1478639946152,1478639946152
SET,STORED,1478639946215,1478639946215,1478639946227,1478639946227,1478639946228,1478639946228
SET,STORED,1478639946095,1478639946095,1478639946229,1478639946229,1478639946239,1478639946239
SET,STORED,1478639946257,1478639946257,1478639946266,1478639946266,1478639946267,1478639946267
SET,STORED,1478639946122,1478639946122,1478639946284,1478639946284,1478639946367,1478639946367
SET,STORED,1478639946371,1478639946371,1478639946381,1478639946381,1478639946382,1478639946382
SET,STORED,1478639946392,1478639946392,1478639946399,1478639946399,1478639946401,1478639946401
SET,STORED,1478639946421,1478639946421,1478639946424,1478639946424,1478639946424,1478639946424
SET,STORED,1478639946443,1478639946443,1478639946451,1478639946451,1478639946451,1478639946451
SET,STORED,1478639946480,1478639946480,1478639946487,1478639946488,1478639946488,1478639946488
SET,STORED,1478639946503,1478639946503,1478639946544,1478639946544,1478639946545,1478639946545
SET,STORED,1478639946532,1478639946532,1478639946571,1478639946571,1478639946571,1478639946571
SET,STORED,1478639946609,1478639946609,1478639946628,1478639946629,1478639946629,1478639946629
SET,STORED,1478639946654,1478639946654,1478639946676,1478639946676,1478639946676,1478639946676
SET,STORED,1478639946832,1478639946832,1478639946835,1478639946835,1478639946835,1478639946835
SET,STORED,1478639947184,1478639947184,1478639947191,1478639947191,1478639947192,1478639947192
SET,STORED,1478639947010,1478639947010,1478639947197,1478639947197,1478639947219,1478639947219
