memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;52442;5244;0;691;323316;36396;49250.68
7;t;GET;20;50507;5050;0;699;311064;38244;53930.66
7;t;GET;30;47273;4727;0;695;343788;40895;59166.36
7;t;GET;40;43730;4373;0;655;723240;43976;82183.48
7;t;GET;50;51200;5120;0;738;374905;37773;53687.35
7;t;GET;60;50959;5095;0;664;254842;37480;49262.61
7;t;GET;70;48210;4821;0;563;306432;40275;56824.00
7;t;GET;80;46929;4692;0;626;727334;41108;66950.28
7;t;GET;90;48123;4812;0;640;604751;40090;60580.92
7;t;GET;100;52047;5204;0;556;232712;36678;50691.83
7;t;GET;110;47124;4712;0;468;520494;41503;64180.80
7;t;GET;120;51799;5179;0;703;221779;37387;50729.15
7;t;GET;130;46343;4634;0;704;549868;41742;67077.33
7;t;GET;140;47782;4778;0;728;454342;40507;58796.67
7;t;GET;150;44522;4452;0;731;481262;42754;62370.46
7;t;GET;160;51676;5167;0;709;324572;38074;54145.32
7;t;GET;170;48372;4837;0;662;324004;39977;56290.37
7;t;GET;180;50369;5036;0;642;385159;38468;51798.41
7;t;GET;190;48706;4870;0;599;518197;39734;57845.08
7;t;GET;200;44650;4465;0;593;575941;43299;66523.82
7;t;GET;210;46479;4647;0;691;431320;41564;60008.09
7;t;GET;220;46686;4668;0;706;1110113;41337;66610.57
7;t;GET;230;50497;5049;0;741;273032;38025;44213.83
7;t;GET;240;47407;4740;0;603;336751;40717;56940.66
7;t;GET;250;45343;4534;0;693;440115;42530;66627.27
7;t;GET;260;49371;4937;0;670;269023;38929;53205.32
7;t;GET;270;47485;4748;0;626;528886;40766;60974.11
7;t;GET;280;48125;4812;0;663;327210;40061;57041.98
7;t;GET;290;48451;4845;0;554;454044;39766;56854.99
7;t;GET;300;47137;4713;0;634;337315;40844;58128.27
7;t;GET;310;47398;4739;0;642;349706;40665;59531.94
7;t;GET;320;48937;4893;0;667;279584;39421;52949.34
7;t;GET;330;49241;4924;0;560;321638;39201;53171.66
7;t;GET;340;49294;4929;0;717;262298;39034;52418.72
7;t;GET;350;46172;4617;0;564;739215;41722;76170.19
7;t;GET;360;48088;4808;0;625;378467;40123;60682.06
7;t;GET;370;45241;4524;0;673;861937;42635;72647.69
7;t;GET;380;49107;4910;0;703;532787;39249;59787.35
7;t;GET;390;50328;5032;0;628;273929;38284;51706.95
7;t;GET;400;49460;4946;0;588;314844;39032;51953.03
7;t;GET;410;48630;4863;0;630;436614;39581;56913.08
7;t;GET;420;51797;5179;0;662;238789;37210;50304.93
7;t;GET;430;51126;5112;0;671;437736;37685;53752.71
7;t;GET;440;48275;4827;0;601;398217;39977;56108.89
7;t;GET;450;49639;4963;0;639;333550;38826;53316.84
7;t;GET;460;48574;4857;0;591;358806;39287;54559.70
7;t;GET;470;48463;4846;0;605;602487;40136;63345.68
7;t;GET;480;47775;4777;0;671;498316;40368;60539.10
7;t;GET;490;48379;4837;0;724;603846;39763;60557.98
7;t;GET;500;47989;4798;0;769;542500;40255;57831.34
7;t;GET;510;49437;4943;0;729;355723;38967;52134.33
7;t;GET;520;45025;4502;0;541;1095468;42788;84664.16
7;t;GET;530;50988;5098;0;651;274916;37862;53820.55
7;t;GET;540;49173;4917;0;666;312903;39137;55448.90
7;t;GET;550;49530;4953;0;660;396333;39014;48475.95
7;t;GET;560;48590;4859;0;696;410788;39569;57299.17
7;t;GET;570;48060;4806;0;714;316082;40137;54216.61
7;t;GET;580;52103;5210;0;679;248571;37006;50302.01
7;t;GET;590;48820;4882;0;601;295413;39473;56157.80
7;t;GET;600;51514;5151;0;670;277716;37430;50222.85
7;t;GET;600;51514;5151;0;670;277716;37430;50222.85
7;global;GET;602.9;51514;5151;0;468;1110113;39679;58141
8;t;GET;10;49240;4924;0;572;333174;39089;52939.54
8;t;GET;20;50413;5041;0;665;286943;38083;52842.43
8;t;GET;30;47353;4735;0;521;343077;40927;58842.66
8;t;GET;40;41395;4139;0;638;723603;45515;84587.64
8;t;GET;50;51869;5186;0;598;375831;37920;53557.93
8;t;GET;60;50085;5008;0;625;306568;38540;51179.11
8;t;GET;70;48124;4812;0;668;299414;40055;55920.61
8;t;GET;80;46656;4665;0;510;724482;40949;66970.92
8;t;GET;90;48162;4816;0;640;602985;40295;60807.48
8;t;GET;100;49942;4994;0;635;521144;38652;56845.63
8;t;GET;110;47698;4769;0;608;395055;40401;59565.32
8;t;GET;120;50033;5003;0;586;502602;38291;55569.64
8;t;GET;130;47767;4776;0;630;555228;40623;62545.69
8;t;GET;140;47840;4784;0;615;455374;40254;58498.61
8;t;GET;150;44755;4475;0;648;481409;43106;63940.95
8;t;GET;160;51026;5102;0;523;299438;37726;52676.06
8;t;GET;170;48084;4808;0;677;321927;39777;56257.96
8;t;GET;180;50519;5051;0;626;384478;38512;52312.78
8;t;GET;190;49635;4963;0;646;518673;38816;56811.35
8;t;GET;200;44722;4472;0;539;576108;43112;66776.69
8;t;GET;210;46113;4611;0;625;430521;41793;60340.17
8;t;GET;220;46482;4648;0;607;1109659;41529;66785.84
8;t;GET;230;50628;5062;0;629;273251;37972;44611.83
8;t;GET;240;47774;4777;0;667;336831;40422;56694.63
8;t;GET;250;45989;4598;0;687;436630;41853;66317.45
8;t;GET;260;48925;4892;0;604;270065;39428;54176.37
8;t;GET;270;47850;4785;0;594;529087;40333;60293.69
8;t;GET;280;48814;4881;0;649;318113;39491;56559.83
8;t;GET;290;47718;4771;0;605;454730;40287;57820.47
8;t;GET;300;47603;4760;0;625;338786;40535;57998.18
8;t;GET;310;47272;4727;0;551;351724;40798;59733.84
8;t;GET;320;47880;4788;0;634;280291;40228;53688.89
8;t;GET;330;49004;4900;0;591;321274;39368;53202.63
8;t;GET;340;50252;5025;0;512;273162;38332;52154.98
8;t;GET;350;44853;4485;0;603;810871;42811;77413.05
8;t;GET;360;48451;4845;0;551;377688;39952;60741.50
8;t;GET;370;45160;4516;0;714;964346;42677;72847.96
8;t;GET;380;50061;5006;0;618;534186;38545;59573.11
8;t;GET;390;49896;4989;0;611;275039;38621;52154.51
8;t;GET;400;50264;5026;0;545;317575;38410;51539.44
8;t;GET;410;49079;4907;0;667;436039;39145;56911.60
8;t;GET;420;51793;5179;0;658;239071;37239;50422.43
8;t;GET;430;51591;5159;0;641;438038;37300;53382.54
8;t;GET;440;48575;4857;0;711;396684;39806;55804.97
8;t;GET;450;49479;4947;0;607;333059;38845;53292.88
8;t;GET;460;48820;4882;0;682;372794;39600;55791.44
