memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;48418;4841;0;378;213987;4974;7322.86
7;t;GET;20;49887;4988;0;402;332134;4825;8772.99
7;t;GET;30;51309;5130;0;405;110845;4695;5663.45
7;t;GET;40;53894;5389;0;358;50910;4468;4275.44
7;t;GET;50;52467;5246;0;352;38429;4591;4248.76
7;t;GET;60;51616;5161;0;398;321584;4663;8115.71
7;t;GET;70;51177;5117;0;438;88366;4710;5016.41
7;t;GET;80;48034;4803;0;389;330103;5010;7973.62
7;t;GET;90;52731;5273;0;383;124048;4571;4757.01
7;t;GET;100;52199;5219;0;394;99030;4613;4677.84
7;t;GET;110;54873;5487;0;385;26630;4388;4045.49
7;t;GET;120;51584;5158;0;369;49153;4668;4483.34
7;t;GET;130;50080;5008;0;370;128599;4810;6359.09
7;t;GET;140;50446;5044;0;409;172993;4770;6251.43
7;t;GET;150;53589;5358;0;390;196464;4495;5386.28
7;t;GET;160;48056;4805;0;350;401146;5029;10721.61
7;t;GET;170;52409;5240;0;384;107481;4600;4631.45
7;t;GET;180;50987;5098;0;393;215973;4724;6798.28
7;t;GET;190;53524;5352;0;417;48170;4497;4203.73
7;t;GET;200;48002;4800;0;379;644168;5017;15037.86
7;t;GET;210;46866;4686;0;417;278661;5135;9114.33
7;t;GET;220;49744;4974;0;400;224225;4845;5969.77
7;t;GET;230;51435;5143;0;356;82335;4684;4827.73
7;t;GET;240;49899;4989;0;416;113021;4826;5092.76
7;t;GET;250;48211;4821;0;363;711534;4995;13761.83
7;t;GET;260;51347;5134;0;376;171152;4689;5549.29
7;t;GET;270;52055;5205;0;411;130788;4625;5179.99
7;t;GET;280;49579;4957;0;384;320588;4859;9202.22
7;t;GET;290;47073;4707;0;329;377469;5115;10666.92
7;t;GET;300;52507;5250;0;308;131891;4586;4943.32
7;t;GET;310;50092;5009;0;349;969537;4811;21322.68
7;t;GET;320;50138;5013;0;399;96976;4803;5227.51
7;t;GET;330;53546;5354;0;366;75725;4495;4484.60
7;t;GET;340;51006;5100;0;388;248163;4722;7900.46
7;t;GET;350;51158;5115;0;314;55671;4709;4345.87
7;t;GET;360;51068;5106;0;440;254898;4715;7008.62
7;t;GET;360;51068;5106;0;440;254898;4715;7008.62
7;global;GET;361.5;51068;5106;0;308;969537;4735;7801
8;t;GET;10;44635;4463;0;392;214134;5396;7492.90
8;t;GET;20;46922;4692;0;442;332223;5130;9100.53
8;t;GET;30;48856;4885;0;414;109287;4931;5604.73
8;t;GET;40;49408;4940;0;474;68133;4875;4359.95
8;t;GET;50;49682;4968;0;434;38463;4847;4288.01
8;t;GET;60;48728;4872;0;475;321469;4943;8292.78
8;t;GET;70;48228;4822;0;364;88593;4991;5182.82
8;t;GET;80;44723;4472;0;413;331690;5384;9125.66
8;t;GET;90;49180;4918;0;392;128310;4897;4806.81
8;t;GET;100;49835;4983;0;389;94637;4834;4629.42
8;t;GET;110;50828;5082;0;424;25242;4738;4083.02
8;t;GET;120;47147;4714;0;462;102832;5107;5010.62
8;t;GET;130;45535;4553;0;425;128674;5287;6280.93
8;t;GET;140;47301;4730;0;447;175631;5095;6299.86
8;t;GET;150;46718;4671;0;428;200028;5155;6826.96
8;t;GET;160;45150;4515;0;382;400870;5335;10249.62
8;t;GET;170;48791;4879;0;432;117777;4882;4820.64
8;t;GET;180;47881;4788;0;485;215665;5084;6941.70
8;t;GET;190;49334;4933;0;399;48328;4881;4260.79
8;t;GET;200;44826;4482;0;441;644192;5375;15276.89
8;t;GET;210;44177;4417;0;465;280217;5452;9706.97
8;t;GET;220;45626;4562;0;431;116563;5276;6075.03
8;t;GET;230;48241;4824;0;418;96921;4989;4942.29
8;t;GET;240;46509;4650;0;414;112684;5184;5215.26
8;t;GET;250;43817;4381;0;406;685887;5497;14155.94
8;t;GET;260;49312;4931;0;434;171097;4881;5576.72
8;t;GET;270;48451;4845;0;411;225794;4973;7080.64
8;t;GET;280;46887;4688;0;443;316393;5133;8305.90
8;t;GET;290;44065;4406;0;425;382671;5466;10918.20
8;t;GET;300;49301;4930;0;414;131262;4889;5007.48
8;t;GET;310;44472;4447;0;365;969378;5434;22533.01
8;t;GET;320;48425;4842;0;379;97223;4993;5248.86
8;t;GET;330;49689;4968;0;464;120863;4868;5118.78
8;t;GET;340;44975;4497;0;440;248860;5375;7730.64
8;t;GET;350;44941;4494;0;423;54901;5379;4462.58
