memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;65288;6528;0;526;121780;9236;7230.67
7;t;GET;20;59653;5965;0;576;473646;10093;14825.82
7;t;GET;30;63142;6314;0;461;127372;9540;7587.66
7;t;GET;40;57965;5796;0;479;321941;10309;15051.00
7;t;GET;50;59978;5997;0;409;144825;10117;9905.45
7;t;GET;60;64024;6402;0;492;136414;9406;7639.54
7;t;GET;70;57556;5755;0;513;280510;10468;14245.59
7;t;GET;80;62336;6233;0;433;126688;9659;7344.49
7;t;GET;90;59695;5969;0;531;321932;10076;15549.02
7;t;GET;100;65718;6571;0;396;213635;9173;8080.41
7;t;GET;110;57961;5796;0;559;207274;10394;12357.56
7;t;GET;120;53810;5381;0;553;335094;11195;17859.28
7;t;GET;130;58489;5848;0;507;461676;10291;16885.48
7;t;GET;140;57233;5723;0;466;259153;10529;15285.95
7;t;GET;150;49945;4994;0;527;3153992;12058;54029.03
7;t;GET;160;62144;6214;0;424;169277;9691;9650.83
7;t;GET;170;58797;5879;0;604;313733;10237;15089.21
7;t;GET;180;56813;5681;0;526;236973;10602;12502.53
7;t;GET;190;58525;5852;0;482;203688;10311;12065.57
7;t;GET;200;58666;5866;0;530;369904;10306;15196.96
7;t;GET;210;57308;5730;0;545;237575;10543;13749.75
7;t;GET;220;58359;5835;0;538;402571;10310;16875.29
7;t;GET;230;57659;5765;0;529;194426;10537;12481.06
7;t;GET;240;59802;5980;0;553;148336;9933;8888.62
7;t;GET;250;54539;5453;0;404;1072134;11286;24752.29
7;t;GET;260;57018;5701;0;430;177869;10606;9511.77
7;t;GET;270;59509;5950;0;455;235401;10151;11125.89
7;t;GET;280;57221;5722;0;544;164930;10563;10977.94
7;t;GET;290;57199;5719;0;623;139505;10574;10098.84
7;t;GET;300;60171;6017;0;502;205957;10046;8855.94
7;t;GET;310;59634;5963;0;441;317672;10135;13005.73
7;t;GET;320;55033;5503;0;496;161205;10988;12387.53
7;t;GET;330;61344;6134;0;497;146020;9847;8001.44
7;t;GET;340;55613;5561;0;454;268444;10880;14107.83
7;t;GET;350;60792;6079;0;432;168127;9949;8830.86
7;t;GET;360;58283;5828;0;652;485273;10373;15278.04
7;t;GET;370;58033;5803;0;452;186823;10419;12653.42
7;t;GET;380;55225;5522;0;540;318085;10916;16518.18
7;t;GET;390;58647;5864;0;486;361884;10265;12973.57
7;t;GET;400;64344;6434;0;505;225326;9365;8014.90
7;t;GET;410;56436;5643;0;467;342270;10669;13348.61
7;t;GET;420;59225;5922;0;615;276993;10183;13469.09
7;t;GET;430;61418;6141;0;466;156365;9839;9692.02
7;t;GET;440;54745;5474;0;503;655778;11043;23839.65
7;t;GET;450;61202;6120;0;572;269958;9877;10688.70
7;t;GET;460;57481;5748;0;527;432792;10470;17587.80
7;t;GET;470;57247;5724;0;532;206257;10613;13756.26
7;t;GET;480;56756;5675;0;494;321775;10658;15653.87
7;t;GET;490;57112;5711;0;544;198638;10581;13939.99
7;t;GET;500;62794;6279;0;558;172677;9630;8947.97
7;t;GET;510;61450;6145;0;518;165082;9834;8529.62
7;t;GET;520;58051;5805;0;541;360494;10417;16065.29
7;t;GET;530;63115;6311;0;523;169683;9577;7266.54
7;t;GET;540;57825;5782;0;566;262457;10434;13311.49
7;t;GET;550;57847;5784;0;514;247402;10419;11816.83
7;t;GET;560;55869;5586;0;410;486196;10770;19012.89
7;t;GET;570;61038;6103;0;392;193076;9867;9190.41
7;t;GET;580;54857;5485;0;482;428713;10983;21295.28
7;t;GET;590;60674;6067;0;567;181955;9930;10591.83
7;t;GET;600;56490;5649;0;566;447637;10660;15473.19
7;t;GET;600;56490;5649;0;566;447637;10660;15473.19
7;global;GET;603.6;56490;5649;0;392;3153992;10271;14677
