memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;72011;7201;0;1348;714833;26680;25770.27
7;t;GET;20;54183;5418;0;1108;1673011;35639;92443.26
7;t;GET;30;45879;4587;0;1489;2618791;41993;162059.07
7;t;GET;40;71579;7157;0;750;500178;26915;31603.57
7;t;GET;50;66724;6672;0;940;1373352;28605;57360.67
7;t;GET;60;66959;6695;0;589;849080;29073;38150.40
7;t;GET;70;68625;6862;0;1012;1344428;28117;49564.66
7;t;GET;80;65544;6554;0;640;1054412;29262;42872.34
7;t;GET;90;53170;5317;0;1257;2142459;36422;83526.01
7;t;GET;100;66300;6630;0;1443;1152204;27788;45476.01
7;t;GET;110;50810;5081;0;1259;1889118;39906;110389.80
7;t;GET;120;68697;6869;0;820;1003085;27599;42121.79
7;t;GET;130;53574;5357;0;1171;2454395;36853;105539.09
7;t;GET;140;74721;7472;0;1043;225009;25865;17886.90
7;t;GET;150;60879;6087;0;513;2285441;31824;87432.05
7;t;GET;160;65310;6531;0;1030;2913860;29630;85444.31
7;t;GET;170;67829;6782;0;596;1076200;28112;41950.30
7;t;GET;180;58484;5848;0;810;2333994;33577;81267.86
7;t;GET;190;67380;6738;0;1209;1113256;28224;42756.54
7;t;GET;200;69812;6981;0;1201;1603812;26628;38943.71
7;t;GET;210;39871;3987;0;1175;4342229;49979;204305.01
7;t;GET;220;50567;5056;0;1427;4411171;39279;170894.86
7;t;GET;230;63881;6388;0;1252;2017331;30288;82668.98
7;t;GET;240;66703;6670;0;1044;964455;28814;44173.34
7;t;GET;250;61712;6171;0;834;1515001;31597;58997.39
7;t;GET;260;57246;5724;0;1187;3195241;33799;94273.95
7;t;GET;270;68718;6871;0;1159;1512045;28126;43159.79
7;t;GET;280;47798;4779;0;1094;1644186;33971;65717.76
7;t;GET;290;64196;6419;0;987;3125074;35039;146891.60
7;t;GET;300;59402;5940;0;1326;1567186;32563;72999.01
7;t;GET;310;53596;5359;0;1201;3922288;36002;114812.07
7;t;GET;320;59520;5952;0;1258;1709997;32343;68761.71
7;t;GET;330;55267;5526;0;477;1718884;34943;80069.04
7;t;GET;340;55088;5508;0;1540;1584357;34975;89643.24
7;t;GET;350;56734;5673;0;642;995019;31779;57756.76
7;t;GET;360;51270;5127;0;1360;2377607;40079;110379.04
7;t;GET;360;51270;5127;0;1360;2377607;40079;110379.04
7;global;GET;362.3;51270;5127;0;477;4411171;31904;83103
8;t;GET;10;68663;6866;0;1197;713676;27859;28780.16
8;t;GET;20;54272;5427;0;1577;1666523;36007;96292.23
8;t;GET;30;46785;4678;0;1589;4173824;41359;163273.23
