type,flag,timeCreated,timeEnqueued,timeDequeued,timeForwarded,timeReceived,timeReturned
SET,STORED,1478604448522,1478604448522,1478604448529,1478604448529,1478604448531,1478604448532
SET,STORED,1478604450255,1478604450255,1478604450269,1478604450269,1478604450270,1478604450270
SET,STORED,1478604451907,1478604451907,1478604451913,1478604451913,1478604451917,1478604451917
SET,STORED,1478604453424,1478604453424,1478604453437,1478604453437,1478604453444,1478604453444
SET,STORED,1478604454906,1478604454906,1478604454917,1478604454917,1478604454918,1478604454918
SET,STORED,1478604456493,1478604456493,1478604456498,1478604456498,1478604456498,1478604456498
SET,STORED,1478604458285,1478604458285,1478604458286,1478604458286,1478604458287,1478604458287
SET,STORED,1478604460115,1478604460115,1478604460129,1478604460129,1478604460134,1478604460134
SET,STORED,1478604461734,1478604461734,1478604461737,1478604461737,1478604461744,1478604461744
SET,STORED,1478604463351,1478604463351,1478604463358,1478604463358,1478604463359,1478604463359
SET,STORED,1478604465148,1478604465148,1478604465158,1478604465158,1478604465159,1478604465159
GET,GET_SUCCESS,1478604465668,1478604465668,1478604465668,1478604465668,1478604465669,1478604465669
GET,GET_SUCCESS,1478604466321,1478604466321,1478604466321,1478604466321,1478604466322,1478604466322
GET,GET_SUCCESS,1478604466938,1478604466938,1478604466938,1478604466938,1478604466939,1478604466939
GET,GET_SUCCESS,1478604467626,1478604467626,1478604467626,1478604467626,1478604467627,1478604467627
GET,GET_SUCCESS,1478604468378,1478604468378,1478604468378,1478604468378,1478604468379,1478604468379
GET,GET_SUCCESS,1478604469154,1478604469154,1478604469154,1478604469154,1478604469155,1478604469155
GET,GET_SUCCESS,1478604469942,1478604469942,1478604469942,1478604469942,1478604469943,1478604469943
GET,GET_SUCCESS,1478604470710,1478604470710,1478604470710,1478604470710,1478604470711,1478604470711
GET,GET_SUCCESS,1478604471486,1478604471486,1478604471486,1478604471486,1478604471487,1478604471487
GET,GET_SUCCESS,1478604472278,1478604472278,1478604472278,1478604472278,1478604472279,1478604472279
GET,GET_SUCCESS,1478604473063,1478604473063,1478604473063,1478604473063,1478604473065,1478604473065
GET,GET_SUCCESS,1478604473790,1478604473790,1478604473790,1478604473790,1478604473791,1478604473791
GET,GET_SUCCESS,1478604474338,1478604474338,1478604474338,1478604474338,1478604474339,1478604474339
GET,GET_SUCCESS,1478604474954,1478604474954,1478604474954,1478604474954,1478604474955,1478604474955
GET,GET_SUCCESS,1478604475663,1478604475663,1478604475663,1478604475663,1478604475664,1478604475664
GET,GET_SUCCESS,1478604476190,1478604476190,1478604476190,1478604476190,1478604476191,1478604476191
GET,GET_SUCCESS,1478604476830,1478604476830,1478604476830,1478604476830,1478604476831,1478604476831
GET,GET_SUCCESS,1478604477579,1478604477579,1478604477580,1478604477580,1478604477580,1478604477580
GET,GET_SUCCESS,1478604478314,1478604478314,1478604478314,1478604478314,1478604478314,1478604478314
GET,GET_SUCCESS,1478604478946,1478604478946,1478604478946,1478604478946,1478604478947,1478604478947
GET,GET_SUCCESS,1478604479714,1478604479714,1478604479714,1478604479714,1478604479715,1478604479715
GET,GET_SUCCESS,1478604480506,1478604480506,1478604480506,1478604480506,1478604480507,1478604480507
GET,GET_SUCCESS,1478604481238,1478604481238,1478604481238,1478604481238,1478604481239,1478604481239
GET,GET_SUCCESS,1478604482002,1478604482002,1478604482002,1478604482002,1478604482003,1478604482003
GET,GET_SUCCESS,1478604482762,1478604482762,1478604482762,1478604482762,1478604482763,1478604482763
GET,GET_SUCCESS,1478604483506,1478604483506,1478604483506,1478604483506,1478604483507,1478604483507
GET,GET_SUCCESS,1478604484270,1478604484270,1478604484270,1478604484270,1478604484271,1478604484271
GET,GET_SUCCESS,1478604485038,1478604485038,1478604485038,1478604485038,1478604485039,1478604485039
GET,GET_SUCCESS,1478604485838,1478604485838,1478604485838,1478604485838,1478604485839,1478604485839
GET,GET_SUCCESS,1478604486607,1478604486607,1478604486607,1478604486607,1478604486608,1478604486608
GET,GET_SUCCESS,1478604487382,1478604487382,1478604487382,1478604487382,1478604487383,1478604487383
GET,GET_SUCCESS,1478604488142,1478604488142,1478604488142,1478604488142,1478604488143,1478604488143
GET,GET_SUCCESS,1478604488895,1478604488895,1478604488895,1478604488895,1478604488896,1478604488896
GET,GET_SUCCESS,1478604489694,1478604489694,1478604489694,1478604489694,1478604489695,1478604489695
GET,GET_SUCCESS,1478604490462,1478604490462,1478604490462,1478604490462,1478604490463,1478604490463
GET,GET_SUCCESS,1478604491222,1478604491222,1478604491222,1478604491222,1478604491223,1478604491223
GET,GET_SUCCESS,1478604492010,1478604492010,1478604492010,1478604492010,1478604492011,1478604492011
GET,GET_SUCCESS,1478604492755,1478604492755,1478604492755,1478604492755,1478604492756,1478604492756
GET,GET_SUCCESS,1478604493526,1478604493526,1478604493526,1478604493526,1478604493527,1478604493527
GET,GET_SUCCESS,1478604494286,1478604494286,1478604494286,1478604494286,1478604494287,1478604494287
