memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;52924;5292;0;320;60296;4564;4750.05
7;t;GET;20;46430;4643;0;366;931225;5207;18892.51
7;t;GET;30;52361;5236;0;371;123874;4619;4855.01
7;t;GET;40;42253;4225;0;418;722226;5467;17341.36
7;t;GET;50;52582;5258;0;405;763097;4803;12849.50
7;t;GET;60;47366;4736;0;341;664045;5083;18595.70
7;t;GET;70;53878;5387;0;308;73492;4474;4568.75
7;t;GET;80;52343;5234;0;353;287360;4607;7617.26
7;t;GET;90;51311;5131;0;333;355060;4705;8280.21
7;t;GET;100;52833;5283;0;342;144333;4556;4687.80
7;t;GET;110;53421;5342;0;416;58237;4506;4191.97
7;t;GET;120;50011;5001;0;426;134171;4817;5403.54
7;t;GET;130;51441;5144;0;376;136418;4678;4857.40
7;t;GET;140;52847;5284;0;430;78028;4560;4692.28
7;t;GET;150;53171;5317;0;381;116285;4529;4621.56
7;t;GET;160;49367;4936;0;392;179699;4878;6411.12
7;t;GET;170;51902;5190;0;454;57740;4638;4587.37
7;t;GET;180;52142;5214;0;376;59281;4619;4320.12
7;t;GET;190;51204;5120;0;399;77989;4702;4246.09
7;t;GET;200;51352;5135;0;364;236556;4692;6549.03
7;t;GET;210;52811;5281;0;338;54585;4558;4250.19
7;t;GET;220;50583;5058;0;413;87526;4761;4891.03
7;t;GET;230;50808;5080;0;414;346409;4739;8824.91
7;t;GET;240;53754;5375;0;416;28551;4483;3998.18
7;t;GET;250;48550;4855;0;383;653073;4958;14885.10
7;t;GET;260;52640;5264;0;400;40976;4573;4325.91
7;t;GET;270;50570;5057;0;443;257558;4700;7065.56
7;t;GET;280;51036;5103;0;337;588274;4780;11433.70
7;t;GET;290;46902;4690;0;343;260948;5136;9304.48
7;t;GET;300;51341;5134;0;375;47476;4689;4234.67
7;t;GET;310;52729;5272;0;360;37695;4569;4203.30
7;t;GET;320;53737;5373;0;375;117633;4480;4875.47
7;t;GET;330;49327;4932;0;390;247155;4883;8343.60
7;t;GET;340;54679;5467;0;358;43657;4404;4249.77
7;t;GET;350;51322;5132;0;398;227308;4693;6038.35
7;t;GET;360;48307;4830;0;371;282656;4986;10132.03
7;t;GET;360;48307;4830;0;371;282656;4986;10132.03
7;global;GET;361.7;48307;4830;0;308;931225;4714;8247
8;t;GET;10;51451;5145;0;367;60601;4678;4802.38
8;t;GET;20;44551;4455;0;396;707217;5376;18128.86
8;t;GET;30;50675;5067;0;440;187538;4778;4951.35
8;t;GET;40;40728;4072;0;416;811351;5913;22472.44
8;t;GET;50;50410;5041;0;410;70913;4778;4714.44
8;t;GET;60;45210;4521;0;377;668423;5326;18574.37
8;t;GET;70;51475;5147;0;429;73429;4676;4601.26
8;t;GET;80;50428;5042;0;407;287047;4779;7778.99
8;t;GET;90;49514;4951;0;337;350300;4863;8950.95
8;t;GET;100;51482;5148;0;355;144155;4679;4753.10
8;t;GET;110;51143;5114;0;433;58018;4708;4243.84
8;t;GET;120;48555;4855;0;391;153932;4960;5538.89
8;t;GET;130;50287;5028;0;332;139125;4786;4955.85
8;t;GET;140;51107;5110;0;415;77894;4712;4693.87
8;t;GET;150;51729;5172;0;405;115884;4656;4656.82
8;t;GET;160;48506;4850;0;389;179226;4964;6362.70
8;t;GET;170;50122;5012;0;393;57191;4807;4591.63
8;t;GET;180;50699;5069;0;385;59734;4748;4343.48
8;t;GET;190;50541;5054;0;450;71318;4767;4256.69
8;t;GET;200;48767;4876;0;370;236390;4932;6741.64
8;t;GET;210;51386;5138;0;396;54361;4691;4287.82
8;t;GET;220;49703;4970;0;362;85511;4846;4897.79
8;t;GET;230;48664;4866;0;452;347686;4965;9071.39
8;t;GET;240;52490;5249;0;352;31195;4607;4014.23
8;t;GET;250;46824;4682;0;385;653437;5163;15057.10
8;t;GET;260;50300;5030;0;445;41083;4790;4378.93
