memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;79362;7936;0;576;209680;15169;12097.35
7;t;GET;20;73138;7313;0;902;191732;16462;14109.19
7;t;GET;30;66116;6611;0;1047;1111770;18224;47874.19
7;t;GET;40;62787;6278;0;1026;343284;17719;17074.73
7;t;GET;50;59485;5948;0;756;3875082;21803;108214.99
7;t;GET;60;68804;6880;0;787;388597;17513;18965.51
7;t;GET;70;53101;5310;0;897;2824847;22678;80694.14
7;t;GET;80;60477;6047;0;631;683337;19922;31729.68
7;t;GET;90;64360;6436;0;1023;276799;18713;19941.32
7;t;GET;100;63159;6315;0;712;328857;17637;18031.87
7;t;GET;110;46914;4691;0;629;6532626;27620;169850.89
7;t;GET;120;65927;6592;0;573;1022321;18326;29663.79
7;t;GET;130;51557;5155;0;560;1561795;23390;82857.23
7;t;GET;140;62826;6282;0;798;781934;19170;37183.74
7;t;GET;150;64117;6411;0;595;468176;18792;28817.70
7;t;GET;160;58522;5852;0;562;4279815;20584;106158.60
7;t;GET;170;67865;6786;0;829;288126;17755;19591.29
7;t;GET;180;51988;5198;0;880;2294067;23150;109425.05
7;t;GET;190;56978;5697;0;802;1124771;18830;22511.42
7;t;GET;200;61574;6157;0;528;2642193;21274;75639.60
7;t;GET;210;59237;5923;0;818;982127;20544;36654.81
7;t;GET;220;67854;6785;0;639;902504;17967;30473.71
7;t;GET;230;63851;6385;0;565;1120938;18878;37843.28
7;t;GET;240;63529;6352;0;897;418218;18932;30062.14
7;t;GET;250;51708;5170;0;465;1222912;23318;63940.91
7;t;GET;260;61838;6183;0;864;1281848;18914;55983.42
7;t;GET;270;61305;6130;0;662;1243542;20230;58166.60
7;t;GET;280;58096;5809;0;919;3010500;20728;80576.21
7;t;GET;290;63227;6322;0;650;591135;19053;29811.39
7;t;GET;300;61935;6193;0;423;1036817;19454;43254.41
7;t;GET;310;60862;6086;0;601;1469073;19789;64764.85
7;t;GET;320;62976;6297;0;734;878229;19127;43785.43
7;t;GET;330;53285;5328;0;546;3491709;22290;125965.58
7;t;GET;340;66690;6669;0;724;5099251;18270;44450.78
7;t;GET;350;54466;5446;0;691;1729850;22170;80199.47
7;t;GET;360;52253;5225;0;1058;3013463;22996;98089.79
7;t;GET;360;52253;5225;0;1058;3013463;22996;98089.79
7;global;GET;361.5;52253;5225;0;423;6532626;19694;62675
8;t;GET;10;78679;7867;0;631;207455;15290;12109.95
8;t;GET;20;74395;7439;0;949;192780;16076;11828.13
8;t;GET;30;63761;6376;0;1071;1115862;19040;49437.80
8;t;GET;40;68098;6809;0;826;334275;17681;16500.67
8;t;GET;50;53874;5387;0;699;4586332;22285;116311.78
