type,flag,timeCreated,timeEnqueued,timeDequeued,timeForwarded,timeReceived,timeReturned
SET,STORED,1478617658989,1478617658989,1478617658998,1478617658998,1478617658999,1478617658999
SET,STORED,1478617659069,1478617659069,1478617659069,1478617659069,1478617659070,1478617659070
SET,STORED,1478617659091,1478617659091,1478617659092,1478617659092,1478617659093,1478617659093
SET,STORED,1478617659119,1478617659119,1478617659135,1478617659135,1478617659135,1478617659135
SET,STORED,1478617659149,1478617659149,1478617659159,1478617659159,1478617659160,1478617659160
SET,STORED,1478617659178,1478617659178,1478617659183,1478617659183,1478617659184,1478617659184
SET,STORED,1478617659199,1478617659199,1478617659215,1478617659215,1478617659215,1478617659215
SET,STORED,1478617659228,1478617659228,1478617659241,1478617659241,1478617659241,1478617659241
SET,STORED,1478617659258,1478617659258,1478617659265,1478617659265,1478617659265,1478617659265
SET,STORED,1478617659277,1478617659277,1478617659300,1478617659300,1478617659301,1478617659301
SET,STORED,1478617659298,1478617659298,1478617659301,1478617659301,1478617659302,1478617659302
SET,STORED,1478617659318,1478617659318,1478617659331,1478617659331,1478617659332,1478617659332
SET,STORED,1478617659330,1478617659330,1478617659341,1478617659341,1478617659342,1478617659342
SET,STORED,1478617659368,1478617659368,1478617659397,1478617659397,1478617659398,1478617659398
SET,STORED,1478617659349,1478617659349,1478617659408,1478617659408,1478617659410,1478617659410
SET,STORED,1478617659387,1478617659387,1478617659421,1478617659421,1478617659421,1478617659421
SET,STORED,1478617659407,1478617659407,1478617659465,1478617659465,1478617659466,1478617659466
SET,STORED,1478617659428,1478617659428,1478617659493,1478617659493,1478617659499,1478617659499
SET,STORED,1478617659450,1478617659450,1478617659523,1478617659523,1478617659524,1478617659524
SET,STORED,1478617659526,1478617659526,1478617659546,1478617659546,1478617659547,1478617659547
SET,STORED,1478617659536,1478617659536,1478617659550,1478617659550,1478617659550,1478617659550
SET,STORED,1478617659471,1478617659471,1478617659582,1478617659582,1478617659582,1478617659582
SET,STORED,1478617659566,1478617659566,1478617659582,1478617659582,1478617659582,1478617659582
SET,STORED,1478617659586,1478617659586,1478617659593,1478617659593,1478617659593,1478617659593
SET,STORED,1478617659491,1478617659491,1478617659604,1478617659604,1478617659606,1478617659606
SET,STORED,1478617659597,1478617659597,1478617659630,1478617659630,1478617659631,1478617659631
SET,STORED,1478617659618,1478617659618,1478617659654,1478617659654,1478617659656,1478617659656
SET,STORED,1478617659668,1478617659668,1478617659680,1478617659680,1478617659681,1478617659681
SET,STORED,1478617659688,1478617659688,1478617659692,1478617659692,1478617659693,1478617659693
SET,STORED,1478617659748,1478617659748,1478617659754,1478617659754,1478617659755,1478617659755
SET,STORED,1478617659648,1478617659648,1478617659764,1478617659764,1478617659767,1478617659767
SET,STORED,1478617659760,1478617659760,1478617659813,1478617659813,1478617659814,1478617659814
SET,STORED,1478617659718,1478617659718,1478617659823,1478617659824,1478617659825,1478617659825
SET,STORED,1478617659847,1478617659847,1478617659855,1478617659855,1478617659855,1478617659855
SET,STORED,1478617659708,1478617659708,1478617659922,1478617659922,1478617659924,1478617659924
SET,STORED,1478617659807,1478617659807,1478617659928,1478617659928,1478617659929,1478617659929
SET,STORED,1478617659737,1478617659737,1478617659982,1478617659982,1478617659984,1478617659984
SET,STORED,1478617659778,1478617659778,1478617659985,1478617659985,1478617659986,1478617659986
SET,STORED,1478617659970,1478617659970,1478617659989,1478617659989,1478617659991,1478617659991
