memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;58854;5885;0;569;1130906;12274;34066.74
7;t;GET;20;62381;6238;0;644;767371;11587;19946.01
7;t;GET;30;56876;5687;0;650;1271741;12730;33134.11
7;t;GET;40;66083;6608;0;417;126845;10936;6919.92
7;t;GET;50;64516;6451;0;556;249533;11201;10664.27
7;t;GET;60;67476;6747;0;428;165203;10709;7802.25
7;t;GET;70;63044;6304;0;426;250569;11465;10664.66
7;t;GET;80;62675;6267;0;750;248924;11527;11966.73
7;t;GET;90;58397;5839;0;546;486199;11921;19865.67
7;t;GET;100;52319;5231;0;611;2370954;14337;50982.98
7;t;GET;110;60539;6053;0;435;296343;11978;14788.71
7;t;GET;120;63425;6342;0;782;191848;11436;12045.76
7;t;GET;130;63292;6329;0;658;318302;11471;12265.39
7;t;GET;140;60396;6039;0;417;255826;12012;15467.40
7;t;GET;150;62606;6260;0;707;279012;11586;12641.59
7;t;GET;160;65569;6556;0;488;131981;11066;7923.39
7;t;GET;170;54231;5423;0;743;474249;13383;23261.49
7;t;GET;180;50492;5049;0;784;3402279;14369;75689.48
7;t;GET;190;64494;6449;0;439;578356;11246;16749.14
7;t;GET;200;63238;6323;0;346;187320;11480;10364.48
7;t;GET;210;55828;5582;0;639;1114327;13001;29217.81
7;t;GET;220;56340;5634;0;468;701701;12482;27766.35
7;t;GET;230;56260;5626;0;410;1250888;13200;25578.45
7;t;GET;240;59646;5964;0;553;389411;12116;15152.83
7;t;GET;250;59392;5939;0;660;395923;12167;17411.45
7;t;GET;260;52181;5218;0;677;1690792;13850;45988.19
7;t;GET;270;60563;6056;0;573;242714;11930;12497.75
7;t;GET;280;55578;5557;0;587;481217;13012;24896.53
7;t;GET;290;57269;5726;0;441;482536;12616;22027.19
7;t;GET;300;64064;6406;0;690;157872;11295;10500.06
7;t;GET;310;64692;6469;0;529;168024;11167;9906.43
7;t;GET;320;56147;5614;0;757;801691;12875;29665.20
7;t;GET;330;47522;4752;0;593;2821300;15207;73171.12
7;t;GET;340;61856;6185;0;391;226832;11682;12413.33
7;t;GET;350;58776;5877;0;726;701824;12297;26246.35
7;t;GET;360;58985;5898;0;595;343517;11961;15943.51
7;t;GET;360;58985;5898;0;595;343517;11961;15943.51
7;global;GET;361.9;58985;5898;0;346;3402279;12144;26311
8;t;GET;10;54889;5488;0;593;934491;13193;35621.87
8;t;GET;20;62891;6289;0;534;766145;11552;20151.34
8;t;GET;30;56381;5638;0;658;1784075;12863;34837.79
8;t;GET;40;65888;6588;0;675;127068;11005;6877.36
8;t;GET;50;63971;6397;0;692;250389;11297;11072.17
8;t;GET;60;65946;6594;0;640;173320;10946;7589.25
8;t;GET;70;63198;6319;0;451;249441;11442;10765.76
8;t;GET;80;61139;6113;0;706;240180;11825;12262.20
8;t;GET;90;55173;5517;0;636;1192854;13050;38046.10
8;t;GET;100;52797;5279;0;709;2639872;13738;38440.21
8;t;GET;110;60580;6058;0;591;296370;11930;15039.41
8;t;GET;120;62577;6257;0;789;191954;11553;11820.26
8;t;GET;130;60842;6084;0;693;255546;11874;12510.64
8;t;GET;140;56760;5676;0;726;280157;12734;18555.25
8;t;GET;150;61084;6108;0;668;204023;11823;8894.46
8;t;GET;160;62600;6260;0;784;128336;11553;8216.11
8;t;GET;170;51259;5125;0;765;475217;14098;24516.95
8;t;GET;180;50587;5058;0;777;3549483;14153;74361.75
8;t;GET;190;64201;6420;0;562;456342;11358;16917.82
8;t;GET;200;62129;6212;0;429;183680;11640;10362.70
8;t;GET;210;54440;5444;0;509;1115765;13274;29628.44
8;t;GET;220;53241;5324;0;665;1250705;13499;33206.37
8;t;GET;230;57056;5705;0;499;381211;12736;17272.97
