type,flag,timeCreated,timeEnqueued,timeDequeued,timeForwarded,timeReceived,timeReturned
SET,STORED,1478605801010,1478605801010,1478605801012,1478605801012,1478605801014,1478605801034
SET,STORED,1478605802509,1478605802509,1478605802515,1478605802515,1478605802519,1478605802519
SET,STORED,1478605803868,1478605803868,1478605803882,1478605803882,1478605803882,1478605803882
SET,STORED,1478605805304,1478605805304,1478605805311,1478605805311,1478605805312,1478605805312
SET,STORED,1478605806643,1478605806643,1478605806659,1478605806659,1478605806662,1478605806662
SET,STORED,1478605808060,1478605808060,1478605808067,1478605808067,1478605808070,1478605808070
SET,STORED,1478605809392,1478605809392,1478605809402,1478605809402,1478605809402,1478605809402
SET,STORED,1478605810624,1478605810624,1478605810631,1478605810631,1478605810634,1478605810634
SET,STORED,1478605811819,1478605811819,1478605811827,1478605811827,1478605811828,1478605811828
SET,STORED,1478605813258,1478605813258,1478605813274,1478605813274,1478605813278,1478605813278
SET,STORED,1478605814695,1478605814695,1478605814707,1478605814707,1478605814708,1478605814708
GET,GET_SUCCESS,1478605815020,1478605815020,1478605815020,1478605815021,1478605815021,1478605815021
GET,GET_SUCCESS,1478605815524,1478605815524,1478605815524,1478605815524,1478605815526,1478605815526
GET,GET_SUCCESS,1478605815969,1478605815969,1478605815969,1478605815969,1478605815970,1478605815970
GET,GET_SUCCESS,1478605816388,1478605816388,1478605816388,1478605816388,1478605816389,1478605816389
GET,GET_SUCCESS,1478605816943,1478605816943,1478605816943,1478605816943,1478605816944,1478605816944
GET,GET_SUCCESS,1478605817356,1478605817356,1478605817356,1478605817356,1478605817357,1478605817357
GET,GET_SUCCESS,1478605817880,1478605817880,1478605817880,1478605817880,1478605817881,1478605817881
GET,GET_SUCCESS,1478605818392,1478605818392,1478605818392,1478605818392,1478605818393,1478605818393
GET,GET_SUCCESS,1478605818884,1478605818884,1478605818884,1478605818884,1478605818885,1478605818885
GET,GET_SUCCESS,1478605819436,1478605819436,1478605819436,1478605819436,1478605819437,1478605819437
GET,GET_SUCCESS,1478605819924,1478605819924,1478605819924,1478605819924,1478605819925,1478605819925
GET,GET_SUCCESS,1478605820408,1478605820408,1478605820408,1478605820408,1478605820409,1478605820409
GET,GET_SUCCESS,1478605820792,1478605820792,1478605820792,1478605820792,1478605820792,1478605820792
GET,GET_SUCCESS,1478605821236,1478605821236,1478605821236,1478605821236,1478605821237,1478605821237
GET,GET_SUCCESS,1478605821744,1478605821744,1478605821744,1478605821744,1478605821746,1478605821746
