memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;21537;2153;0;436;349316;55637;83252.83
7;t;GET;20;22515;2251;0;401;349232;53692;88187.26
7;t;GET;30;23147;2314;0;387;520572;52418;86161.59
7;t;GET;40;21827;2182;0;383;316071;54852;88550.69
7;t;GET;50;21583;2158;0;373;425427;56039;87910.21
7;t;GET;60;20750;2075;0;399;324757;57945;98834.78
7;t;GET;70;21786;2178;0;364;577292;55245;93671.37
7;t;GET;80;21167;2116;0;393;318459;57036;97849.52
7;t;GET;90;20777;2077;0;399;334382;57849;92813.18
7;t;GET;100;19660;1966;0;357;839341;61210;110130.47
7;t;GET;110;20423;2042;0;365;314860;59144;98930.87
7;t;GET;120;20546;2054;0;371;349738;58568;98331.60
7;t;GET;130;21353;2135;0;378;342213;56489;98049.41
7;t;GET;140;21489;2148;0;357;325239;55962;95278.95
7;t;GET;150;21483;2148;0;371;322849;56138;94885.53
7;t;GET;160;20894;2089;0;368;355826;55481;96048.55
7;t;GET;170;20264;2026;0;387;706714;61677;104259.04
7;t;GET;180;21115;2111;0;373;407894;57078;92375.20
7;t;GET;190;21460;2146;0;371;309088;56303;81993.66
7;t;GET;200;20504;2050;0;377;521889;58556;90276.22
7;t;GET;210;21646;2164;0;366;332711;55659;76285.49
7;t;GET;220;20806;2080;0;340;304715;57949;92302.18
7;t;GET;230;21876;2187;0;378;286229;55004;82964.55
7;t;GET;240;20802;2080;0;373;347000;57965;88735.92
7;t;GET;250;20811;2081;0;355;311364;58013;72098.69
7;t;GET;260;20537;2053;0;392;480563;58654;91650.49
7;t;GET;270;21270;2127;0;424;317589;56725;72919.33
7;t;GET;280;21250;2125;0;359;329750;56529;78773.25
7;t;GET;290;22191;2219;0;395;291750;54478;85887.08
7;t;GET;300;21474;2147;0;373;453775;56015;92210.27
7;t;GET;310;21476;2147;0;376;387462;55834;93601.51
7;t;GET;320;21485;2148;0;393;335873;56151;94573.81
7;t;GET;330;21163;2116;0;355;391589;57089;97296.75
7;t;GET;340;21474;2147;0;352;316768;56052;94640.12
7;t;GET;350;20896;2089;0;383;414184;57425;96380.58
7;t;GET;360;21458;2145;0;373;324744;56497;93433.01
7;t;GET;360;21458;2145;0;373;324744;56497;93433.01
7;global;GET;361.6;21458;2145;0;340;839341;56720;91408
8;t;GET;10;20817;2081;0;441;356996;57415;86348.09
8;t;GET;20;22426;2242;0;409;346693;53524;87573.09
8;t;GET;30;22698;2269;0;417;524120;53108;86220.30
8;t;GET;40;21703;2170;0;413;319362;55521;89720.96
8;t;GET;50;21290;2129;0;415;420407;56477;87708.43
8;t;GET;60;20301;2030;0;425;322133;59497;100462.00
8;t;GET;70;21653;2165;0;384;577767;55628;93545.00
8;t;GET;80;21114;2111;0;460;321442;57282;96544.61
8;t;GET;90;20612;2061;0;377;336062;58310;93954.29
8;t;GET;100;19430;1943;0;406;841776;61917;111275.88
8;t;GET;110;20761;2076;0;391;319883;58097;97338.72
8;t;GET;120;19825;1982;0;456;347176;60579;100218.35
8;t;GET;130;21059;2105;0;408;343605;57212;98345.13
8;t;GET;140;21517;2151;0;422;325492;56120;94725.72
8;t;GET;150;21610;2161;0;427;321384;55678;94778.19
8;t;GET;160;20106;2010;0;411;703795;60024;107347.85
8;t;GET;170;20027;2002;0;369;422986;60146;94631.97
8;t;GET;180;21215;2121;0;412;408150;57216;91654.04
8;t;GET;190;20775;2077;0;461;309186;58017;83215.69
8;t;GET;200;20534;2053;0;444;524734;59108;90164.77
8;t;GET;210;21120;2112;0;448;330973;56948;78477.66
8;t;GET;220;20915;2091;0;418;308113;57957;91522.50
8;t;GET;230;21684;2168;0;416;295281;55777;83715.76
8;t;GET;240;21016;2101;0;405;339348;57577;88427.50
8;t;GET;250;20544;2054;0;431;314887;58965;70845.86
8;t;GET;260;20294;2029;0;345;480968;59563;93969.02
8;t;GET;270;21379;2137;0;450;317623;56812;70677.07
8;t;GET;280;20886;2088;0;415;328304;57788;81186.92
8;t;GET;290;22182;2218;0;424;288607;54531;86146.72
8;t;GET;300;21609;2160;0;437;449827;55929;90865.61
8;t;GET;310;21343;2134;0;416;390532;56539;94585.53
8;t;GET;320;21389;2138;0;395;338269;56491;94874.48
8;t;GET;330;20750;2075;0;430;392237;58311;98760.47
8;t;GET;340;21483;2148;0;411;305564;56337;93317.15
8;t;GET;350;20366;2036;0;430;415194;59408;98930.43
8;t;GET;360;27279;2727;0;392;303705;44749;79478.90
8;t;GET;360;27279;2727;0;392;303705;44749;79478.90
8;global;GET;362.2;27280;2728;0;345;841776;56904;91375
9;t;GET;10;21353;2135;0;442;350245;55873;82924.12
9;t;GET;20;22631;2263;0;440;350429;53298;87807.93
9;t;GET;30;22130;2213;0;464;523199;54654;87788.94
9;t;GET;40;22402;2240;0;431;314883;53441;86732.09
9;t;GET;50;21831;2183;0;396;422021;55234;87250.00
9;t;GET;60;20586;2058;0;424;325166;58491;98778.76
9;t;GET;70;21847;2184;0;456;579791;55060;93322.73
9;t;GET;80;21020;2102;0;414;320985;57480;98228.77
9;t;GET;90;20497;2049;0;419;334774;58639;92896.86
9;t;GET;100;19611;1961;0;416;843040;61160;109588.13
