memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;22419;2241;0;357;237797;32088;46225.81
7;t;GET;20;22158;2215;0;381;199493;32595;44763.10
7;t;GET;30;21705;2170;0;335;345773;33359;47372.47
7;t;GET;40;22990;2299;0;351;212835;31482;41742.01
7;t;GET;50;22284;2228;0;406;192743;32448;45651.07
7;t;GET;60;22398;2239;0;382;326839;32207;48599.00
7;t;GET;70;23046;2304;0;370;240615;31369;44919.87
7;t;GET;80;23167;2316;0;314;205514;31199;40227.16
7;t;GET;90;23925;2392;0;373;197689;30232;38408.75
7;t;GET;100;23590;2359;0;357;235482;30650;43195.74
7;t;GET;110;22295;2229;0;353;237615;32337;45055.40
7;t;GET;120;21804;2180;0;355;199336;33205;43803.49
7;t;GET;130;22419;2241;0;388;183609;32260;45188.96
7;t;GET;140;21379;2137;0;363;223820;33747;47337.12
7;t;GET;150;21151;2115;0;358;218743;34173;42625.43
7;t;GET;160;21201;2120;0;362;217962;34138;45900.20
7;t;GET;170;21631;2163;0;349;261020;33365;47077.67
7;t;GET;180;21713;2171;0;396;169832;33331;38753.18
7;t;GET;190;20788;2078;0;334;370674;34856;50028.50
7;t;GET;200;21055;2105;0;405;333675;34293;49483.69
7;t;GET;210;22137;2213;0;392;186731;32602;42659.31
7;t;GET;220;21931;2193;0;384;194743;32959;40297.86
7;t;GET;230;22390;2239;0;330;230265;32315;41657.33
7;t;GET;240;22742;2274;0;375;193992;31809;39116.78
7;t;GET;250;21007;2100;0;388;352702;34324;44744.84
7;t;GET;260;22116;2211;0;359;262218;32743;44981.52
7;t;GET;270;21929;2192;0;344;191242;32869;41437.24
7;t;GET;280;21976;2197;0;389;207722;32934;42739.45
7;t;GET;290;21891;2189;0;406;196042;33004;45072.59
7;t;GET;300;19962;1996;0;360;341454;36194;51428.81
7;t;GET;310;21844;2184;0;376;198138;33143;44766.66
7;t;GET;320;20878;2087;0;378;206975;34580;44743.54
7;t;GET;330;21067;2106;0;407;406120;34245;47211.02
7;t;GET;340;21400;2140;0;369;192842;33958;45918.52
7;t;GET;350;21045;2104;0;333;395664;34283;50991.67
7;t;GET;360;21847;2184;0;377;220941;33174;46510.52
7;t;GET;360;21847;2184;0;377;220941;33174;46510.52
