memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;19493;1949;0;445;274813;49040;69134.92
7;t;GET;20;20852;2085;0;391;241207;46433;69659.46
7;t;GET;30;20771;2077;0;387;278212;46300;65916.35
7;t;GET;40;19543;1954;0;385;294890;49266;71687.87
7;t;GET;50;20026;2002;0;386;260127;48142;67211.90
7;t;GET;60;20933;2093;0;404;270304;46028;69419.60
7;t;GET;70;21005;2100;0;362;261229;45835;68001.90
7;t;GET;80;21986;2198;0;397;280734;43961;63641.80
7;t;GET;90;20401;2040;0;377;272853;47153;69702.54
7;t;GET;100;21210;2121;0;411;323285;45501;57363.85
7;t;GET;110;21402;2140;0;363;284747;45055;66625.90
7;t;GET;120;20893;2089;0;380;466712;45941;71395.37
7;t;GET;130;21369;2136;0;378;297103;45216;66340.41
7;t;GET;140;21322;2132;0;431;315276;44920;65932.55
7;t;GET;150;21868;2186;0;393;334253;44346;67613.67
7;t;GET;160;21169;2116;0;352;272449;45494;68333.45
7;t;GET;170;20497;2049;0;380;254913;47157;69686.29
7;t;GET;180;19382;1938;0;343;829149;49631;89557.11
7;t;GET;190;21677;2167;0;382;250182;44401;68559.46
7;t;GET;200;20970;2097;0;346;246627;46029;67538.99
7;t;GET;210;19797;1979;0;357;266396;48720;67728.63
7;t;GET;220;20624;2062;0;372;250362;46585;62796.20
7;t;GET;230;21024;2102;0;401;436797;46035;62861.12
7;t;GET;240;21233;2123;0;391;319779;45333;67575.81
7;t;GET;250;20621;2062;0;365;290693;46749;71838.51
7;t;GET;260;20857;2085;0;379;297178;46028;69236.15
7;t;GET;270;21044;2104;0;394;241432;46025;67906.53
7;t;GET;280;21368;2136;0;374;249199;45256;56137.52
7;t;GET;290;21328;2132;0;385;290332;45118;61044.40
7;t;GET;300;21606;2160;0;382;256823;44548;57777.41
7;t;GET;310;20668;2066;0;419;479912;46649;67024.42
7;t;GET;320;20999;2099;0;416;267993;45949;64341.27
7;t;GET;330;21706;2170;0;407;258931;44329;58159.37
7;t;GET;340;21530;2153;0;383;257169;44798;66035.94
7;t;GET;350;22338;2233;0;356;298639;43124;65315.71
7;t;GET;360;19926;1992;0;361;433686;48393;77830.96
7;t;GET;360;19926;1992;0;361;433686;48393;77830.96
7;global;GET;361.5;19926;1992;0;343;829149;46054;67279
8;t;GET;10;19536;1953;0;438;275288;49188;69174.98
8;t;GET;20;21439;2143;0;385;240737;45239;69026.77
8;t;GET;30;20571;2057;0;378;278102;46950;66203.65
8;t;GET;40;20079;2007;0;423;291343;48135;71105.55
8;t;GET;50;20198;2019;0;422;258655;47939;67083.62
8;t;GET;60;21260;2126;0;414;269714;45459;69109.23
8;t;GET;70;21262;2126;0;395;259494;45518;67901.34
8;t;GET;80;21843;2184;0;443;282030;44176;63933.24
8;t;GET;90;20422;2042;0;448;272904;47474;70072.74
8;t;GET;100;21034;2103;0;399;328757;46082;58213.55
8;t;GET;110;21547;2154;0;385;288553;44715;66487.48
8;t;GET;120;20781;2078;0;448;466234;46399;72023.34
8;t;GET;130;21523;2152;0;476;295675;44900;65733.15
8;t;GET;140;21445;2144;0;440;324127;44922;66975.36
8;t;GET;150;21967;2196;0;384;334633;43768;66912.72
8;t;GET;160;21148;2114;0;418;268265;45635;68404.61
8;t;GET;170;20578;2057;0;473;257201;46938;69380.83
8;t;GET;180;19378;1937;0;415;831679;49594;89596.88
8;t;GET;190;21288;2128;0;402;253021;45243;69446.21
8;t;GET;200;20983;2098;0;409;246626;45899;67142.34
8;t;GET;210;20451;2045;0;410;267287;47212;66775.36
8;t;GET;220;20716;2071;0;438;245613;46541;62660.03
8;t;GET;230;21419;2141;0;419;435934;44913;61984.97
8;t;GET;240;21356;2135;0;410;318264;45132;67367.76
8;t;GET;250;21025;2102;0;376;286461;45921;71320.77
8;t;GET;260;21017;2101;0;412;295048;45964;69499.68
8;t;GET;270;21469;2146;0;425;237418;44794;66907.04
8;t;GET;280;21630;2163;0;391;248752;44677;55239.18
8;t;GET;290;21222;2122;0;374;291915;45487;61572.25
8;t;GET;300;21596;2159;0;414;258046;44129;57813.83
8;t;GET;310;20910;2091;0;436;474699;46531;66739.76
8;t;GET;320;21014;2101;0;355;271741;45878;63744.85
8;t;GET;330;21792;2179;0;369;259462;44107;58242.98
8;t;GET;340;21514;2151;0;414;258118;44758;66115.61
8;t;GET;350;21998;2199;0;365;300361;43781;65876.41
8;t;GET;360;20555;2055;0;392;435695;47141;76365.16
8;t;GET;360;20555;2055;0;392;435695;47141;76365.16
8;global;GET;361.9;20554;2055;0;355;831679;45827;67151
9;t;GET;10;20125;2012;0;432;278625;47657;68165.42
9;t;GET;20;21490;2149;0;438;246535;45126;68328.26
9;t;GET;30;20710;2071;0;392;277889;46547;66184.38
9;t;GET;40;19323;1932;0;383;291343;50238;72574.31
9;t;GET;50;20091;2009;0;466;260080;48261;66721.71
9;t;GET;60;21036;2103;0;463;267594;45891;69588.25
9;t;GET;70;21772;2177;0;411;261471;44432;67033.83
9;t;GET;80;21413;2141;0;352;279961;45300;64202.31
9;t;GET;90;20352;2035;0;427;328738;46957;70015.28
9;t;GET;100;21377;2137;0;428;303889;45821;57378.03
9;t;GET;110;21198;2119;0;414;288501;45702;66760.60
9;t;GET;120;21209;2120;0;477;465726;45462;71535.92
9;t;GET;130;21369;2136;0;372;294688;45429;64841.56
9;t;GET;140;21440;2144;0;485;321332;45058;66871.80
9;t;GET;150;22069;2206;0;426;333664;43738;67233.10
9;t;GET;160;21072;2107;0;403;272123;45610;68543.95
9;t;GET;170;20800;2080;0;423;257019;46715;68018.35
9;t;GET;180;19193;1919;0;396;832972;49962;91040.94
9;t;GET;190;21439;2143;0;426;248111;44981;69724.89
9;t;GET;200;20885;2088;0;393;238383;46073;66910.18
9;t;GET;210;20211;2021;0;416;267490;47778;66594.79
9;t;GET;220;20697;2069;0;426;250254;46615;62482.28
9;t;GET;230;20852;2085;0;437;437022;46200;62867.26
9;t;GET;240;21722;2172;0;411;318855;44385;66850.63
9;t;GET;250;20683;2068;0;442;287115;46443;71689.28
9;t;GET;260;20897;2089;0;375;296493;46300;69124.52
9;t;GET;270;21490;2149;0;438;236257;44781;67317.39
9;t;GET;280;21262;2126;0;442;286207;45085;55042.88
9;t;GET;290;21666;2166;0;321;289969;44926;60054.61
9;t;GET;300;21048;2104;0;414;475999;45598;64099.96
9;t;GET;310;21392;2139;0;444;348246;45023;62028.65
9;t;GET;320;20921;2092;0;427;273929;46269;63795.42
9;t;GET;330;21469;2146;0;387;259248;44749;59483.39
9;t;GET;340;21993;2199;0;415;261934;43866;65376.27
9;t;GET;350;22047;2204;0;398;300623;43469;65790.55
9;t;GET;360;22448;2244;0;381;435454;43410;72311.02
9;t;GET;360;22448;2244;0;381;435454;43410;72311.02
9;global;GET;362.1;22448;2244;0;321;832972;45777;67004
