[INFO ] 2016-11-08 12:50:39.882 [main] UniformHasher - Hasher initialised.
[INFO ] 2016-11-08 12:50:39.884 [main] MiddlewareMain - Starting middleware...
[INFO ] 2016-11-08 12:50:39.884 [main] MiddlewareMain - [load balancer IP]: 10.0.0.6
[INFO ] 2016-11-08 12:50:39.884 [main] MiddlewareMain - [load balancer port]: 11212
[INFO ] 2016-11-08 12:50:39.884 [main] MiddlewareMain - [number of read threads per component]: 64
[INFO ] 2016-11-08 12:50:39.884 [main] MiddlewareMain - [replication factor]: 1
[INFO ] 2016-11-08 12:50:39.884 [main] MiddlewareMain - [memcached addresses]: [10.0.0.12:11211, 10.0.0.4:11211, 10.0.0.11:11211, 10.0.0.8:11211, 10.0.0.5:11211]
[INFO ] 2016-11-08 12:50:39.907 [main] WriteWorker - c0w0 connected to server /10.0.0.12:11211.
[INFO ] 2016-11-08 12:50:39.917 [pool-2-thread-1] WriteWorker - c0w0 started; writing to machines: [0].
[INFO ] 2016-11-08 12:50:39.936 [pool-2-thread-2] ReadWorker - c0r0 started.
[INFO ] 2016-11-08 12:50:39.937 [pool-2-thread-3] ReadWorker - c0r1 started.
[INFO ] 2016-11-08 12:50:39.937 [pool-2-thread-4] ReadWorker - c0r2 started.
[INFO ] 2016-11-08 12:50:39.939 [pool-2-thread-5] ReadWorker - c0r3 started.
[INFO ] 2016-11-08 12:50:39.939 [pool-2-thread-6] ReadWorker - c0r4 started.
[INFO ] 2016-11-08 12:50:39.948 [pool-2-thread-7] ReadWorker - c0r5 started.
[INFO ] 2016-11-08 12:50:39.948 [pool-2-thread-8] ReadWorker - c0r6 started.
[INFO ] 2016-11-08 12:50:39.949 [pool-2-thread-9] ReadWorker - c0r7 started.
[INFO ] 2016-11-08 12:50:39.951 [pool-2-thread-10] ReadWorker - c0r8 started.
[INFO ] 2016-11-08 12:50:39.952 [pool-2-thread-12] ReadWorker - c0r10 started.
[INFO ] 2016-11-08 12:50:39.953 [pool-2-thread-13] ReadWorker - c0r11 started.
[INFO ] 2016-11-08 12:50:39.954 [pool-2-thread-14] ReadWorker - c0r12 started.
[INFO ] 2016-11-08 12:50:39.955 [pool-2-thread-15] ReadWorker - c0r13 started.
[INFO ] 2016-11-08 12:50:39.957 [pool-2-thread-17] ReadWorker - c0r15 started.
[INFO ] 2016-11-08 12:50:39.957 [pool-2-thread-18] ReadWorker - c0r16 started.
[INFO ] 2016-11-08 12:50:39.951 [pool-2-thread-11] ReadWorker - c0r9 started.
[INFO ] 2016-11-08 12:50:39.959 [pool-2-thread-19] ReadWorker - c0r17 started.
[INFO ] 2016-11-08 12:50:39.956 [pool-2-thread-16] ReadWorker - c0r14 started.
[INFO ] 2016-11-08 12:50:39.967 [pool-2-thread-20] ReadWorker - c0r18 started.
[INFO ] 2016-11-08 12:50:39.968 [pool-2-thread-21] ReadWorker - c0r19 started.
[INFO ] 2016-11-08 12:50:39.968 [pool-2-thread-22] ReadWorker - c0r20 started.
[INFO ] 2016-11-08 12:50:39.969 [pool-2-thread-23] ReadWorker - c0r21 started.
[INFO ] 2016-11-08 12:50:39.970 [pool-2-thread-24] ReadWorker - c0r22 started.
[INFO ] 2016-11-08 12:50:39.972 [pool-2-thread-26] ReadWorker - c0r24 started.
[INFO ] 2016-11-08 12:50:39.972 [pool-2-thread-27] ReadWorker - c0r25 started.
[INFO ] 2016-11-08 12:50:39.973 [pool-2-thread-28] ReadWorker - c0r26 started.
[INFO ] 2016-11-08 12:50:39.971 [pool-2-thread-25] ReadWorker - c0r23 started.
[INFO ] 2016-11-08 12:50:39.983 [pool-2-thread-29] ReadWorker - c0r27 started.
[INFO ] 2016-11-08 12:50:39.984 [pool-2-thread-30] ReadWorker - c0r28 started.
[INFO ] 2016-11-08 12:50:39.984 [pool-2-thread-31] ReadWorker - c0r29 started.
[INFO ] 2016-11-08 12:50:39.986 [pool-2-thread-32] ReadWorker - c0r30 started.
[INFO ] 2016-11-08 12:50:39.993 [pool-2-thread-33] ReadWorker - c0r31 started.
[INFO ] 2016-11-08 12:50:39.994 [pool-2-thread-34] ReadWorker - c0r32 started.
[INFO ] 2016-11-08 12:50:40.053 [pool-2-thread-35] ReadWorker - c0r33 started.
[INFO ] 2016-11-08 12:50:40.055 [pool-2-thread-36] ReadWorker - c0r34 started.
[INFO ] 2016-11-08 12:50:40.055 [pool-2-thread-37] ReadWorker - c0r35 started.
[INFO ] 2016-11-08 12:50:40.056 [pool-2-thread-38] ReadWorker - c0r36 started.
