type,flag,timeCreated,timeEnqueued,timeDequeued,timeForwarded,timeReceived,timeReturned
SET,STORED,1478606251795,1478606251795,1478606251796,1478606251796,1478606251797,1478606251802
SET,STORED,1478606251859,1478606251859,1478606251863,1478606251863,1478606251864,1478606251864
SET,STORED,1478606251907,1478606251907,1478606251912,1478606251912,1478606251912,1478606251912
SET,STORED,1478606251956,1478606251956,1478606251985,1478606251985,1478606251986,1478606251986
SET,STORED,1478606252016,1478606252016,1478606252028,1478606252028,1478606252028,1478606252028
SET,STORED,1478606252066,1478606252066,1478606252066,1478606252066,1478606252067,1478606252067
SET,STORED,1478606252113,1478606252113,1478606252117,1478606252117,1478606252117,1478606252117
SET,STORED,1478606252150,1478606252150,1478606252153,1478606252153,1478606252153,1478606252153
SET,STORED,1478606252180,1478606252180,1478606252182,1478606252182,1478606252183,1478606252183
SET,STORED,1478606252211,1478606252211,1478606252231,1478606252231,1478606252231,1478606252231
SET,STORED,1478606252252,1478606252252,1478606252258,1478606252258,1478606252258,1478606252258
SET,STORED,1478606252281,1478606252281,1478606252294,1478606252294,1478606252298,1478606252298
SET,STORED,1478606252323,1478606252323,1478606252327,1478606252327,1478606252327,1478606252327
SET,STORED,1478606252345,1478606252345,1478606252372,1478606252372,1478606252373,1478606252373
SET,STORED,1478606252380,1478606252380,1478606252393,1478606252393,1478606252394,1478606252394
SET,STORED,1478606252411,1478606252411,1478606252412,1478606252412,1478606252412,1478606252412
SET,STORED,1478606252452,1478606252452,1478606252456,1478606252456,1478606252457,1478606252457
SET,STORED,1478606252472,1478606252472,1478606252476,1478606252476,1478606252476,1478606252476
SET,STORED,1478606252493,1478606252493,1478606252496,1478606252496,1478606252497,1478606252497
SET,STORED,1478606252513,1478606252513,1478606252517,1478606252517,1478606252524,1478606252524
SET,STORED,1478606252541,1478606252541,1478606252549,1478606252549,1478606252549,1478606252549
SET,STORED,1478606252561,1478606252561,1478606252562,1478606252562,1478606252562,1478606252562
SET,STORED,1478606252580,1478606252580,1478606252592,1478606252592,1478606252593,1478606252593
SET,STORED,1478606252599,1478606252599,1478606252603,1478606252603,1478606252604,1478606252604
SET,STORED,1478606252619,1478606252619,1478606252623,1478606252623,1478606252624,1478606252624
SET,STORED,1478606252638,1478606252638,1478606252649,1478606252649,1478606252650,1478606252650
SET,STORED,1478606252677,1478606252677,1478606252694,1478606252694,1478606252695,1478606252695
SET,STORED,1478606252697,1478606252697,1478606252698,1478606252698,1478606252698,1478606252698
SET,STORED,1478606252707,1478606252707,1478606252724,1478606252724,1478606252724,1478606252724
SET,STORED,1478606252727,1478606252727,1478606252737,1478606252737,1478606252737,1478606252737
SET,STORED,1478606252756,1478606252756,1478606252765,1478606252765,1478606252766,1478606252766
SET,STORED,1478606252767,1478606252767,1478606252778,1478606252778,1478606252779,1478606252779
SET,STORED,1478606252786,1478606252786,1478606252792,1478606252792,1478606252792,1478606252792
SET,STORED,1478606252797,1478606252797,1478606252807,1478606252807,1478606252809,1478606252809
SET,STORED,1478606252825,1478606252825,1478606252876,1478606252876,1478606252877,1478606252877
SET,STORED,1478606252878,1478606252878,1478606252902,1478606252902,1478606252903,1478606252903
SET,STORED,1478606252905,1478606252905,1478606252916,1478606252916,1478606252917,1478606252917
SET,STORED,1478606252925,1478606252925,1478606252930,1478606252930,1478606252931,1478606252931
SET,STORED,1478606252945,1478606252945,1478606252956,1478606252956,1478606252956,1478606252956
SET,STORED,1478606252966,1478606252966,1478606252989,1478606252989,1478606252990,1478606252990
