2016-10-17 12:01:40,239 [__main__] - VM [94mforaslvms7m1[0m [Basic_A2]
2016-10-17 12:01:40,399 [__main__] - Public host name: [92mpungast7foraslvms7m1.westeurope.cloudapp.azure.com[0m
2016-10-17 12:01:40,465 [__main__] - Private host name: [92m10.0.0.8[0m
2016-10-17 12:01:40,465 [__main__] - VM [94mforaslvms7m2[0m [Basic_A2]
2016-10-17 12:01:40,515 [__main__] - Public host name: [92mpungast7foraslvms7m2.westeurope.cloudapp.azure.com[0m
2016-10-17 12:01:40,576 [__main__] - Private host name: [92m10.0.0.5[0m
2016-10-17 12:01:40,577 [__main__] - VM [94mforaslvms7m3[0m [Basic_A2]
2016-10-17 12:01:40,624 [__main__] - Public host name: [92mpungast7foraslvms7m3.westeurope.cloudapp.azure.com[0m
2016-10-17 12:01:40,674 [__main__] - Private host name: [92m10.0.0.10[0m
2016-10-17 12:01:40,674 [__main__] - VM [94mforaslvms7m4[0m [Basic_A2]
2016-10-17 12:01:40,731 [__main__] - Public host name: [92mpungast7foraslvms7m4.westeurope.cloudapp.azure.com[0m
2016-10-17 12:01:40,839 [__main__] - Private host name: [92m10.0.0.7[0m
2016-10-17 12:01:40,839 [__main__] - VM [94mforaslvms7m5[0m [Basic_A2]
2016-10-17 12:01:40,891 [__main__] - Public host name: [92mpungast7foraslvms7m5.westeurope.cloudapp.azure.com[0m
2016-10-17 12:01:40,943 [__main__] - Private host name: [92m10.0.0.6[0m
2016-10-17 12:01:40,943 [__main__] - VM [94mforaslvms7m6[0m [Basic_A2]
2016-10-17 12:01:40,994 [__main__] - Public host name: [92mpungast7foraslvms7m6.westeurope.cloudapp.azure.com[0m
2016-10-17 12:01:41,046 [__main__] - Private host name: [92m10.0.0.9[0m
2016-10-17 12:01:41,046 [__main__] - VM [94mforaslvms7m7[0m [Basic_A4]
2016-10-17 12:01:41,097 [__main__] - Public host name: [92mpungast7foraslvms7m7.westeurope.cloudapp.azure.com[0m
2016-10-17 12:01:41,147 [__main__] - Private host name: [92m10.0.0.4[0m
2016-10-17 12:01:41,148 [__main__] - A2 machines: [0, 1, 2, 3, 4, 5]
2016-10-17 12:01:41,148 [__main__] - A4 machine: 6
2016-10-17 12:01:41,148 [__main__] - Setting up memcached on machine 0 (foraslvms7m1).
2016-10-17 12:01:41,148 [__main__] - Setting up memcached on machine 1 (foraslvms7m2).
2016-10-17 12:01:41,148 [__main__] - Setting up memcached on machine 2 (foraslvms7m3).
2016-10-17 12:02:21,919 [__main__] - Setting up middleware on machine 6 (foraslvms7m7).
2016-10-17 12:02:38,364 [__main__] - Sleeping for 5 seconds so middleware can start...
2016-10-17 12:02:43,369 [__main__] - Setting up memaslap on machine 3 (foraslvms7m4).
2016-10-17 12:02:43,370 [__main__] - Setting up memaslap on machine 4 (foraslvms7m5).
2016-10-17 12:02:43,370 [__main__] - Setting up memaslap on machine 5 (foraslvms7m6).
2016-10-17 12:37:24,540 [__main__] - Waiting for the experiment to finish, 34/65 minutes elapsed (52%).
2016-10-17 12:38:24,543 [__main__] - Waiting for the experiment to finish, 35/65 minutes elapsed (54%).
2016-10-17 12:39:24,543 [__main__] - Waiting for the experiment to finish, 36/65 minutes elapsed (55%).
2016-10-17 12:40:24,546 [__main__] - Waiting for the experiment to finish, 37/65 minutes elapsed (57%).
2016-10-17 12:41:24,549 [__main__] - Waiting for the experiment to finish, 38/65 minutes elapsed (58%).
2016-10-17 12:42:24,548 [__main__] - Waiting for the experiment to finish, 39/65 minutes elapsed (60%).
2016-10-17 12:43:24,550 [__main__] - Waiting for the experiment to finish, 40/65 minutes elapsed (62%).
2016-10-17 12:44:24,554 [__main__] - Waiting for the experiment to finish, 41/65 minutes elapsed (63%).
2016-10-17 12:45:24,554 [__main__] - Waiting for the experiment to finish, 42/65 minutes elapsed (65%).
2016-10-17 12:46:24,553 [__main__] - Waiting for the experiment to finish, 43/65 minutes elapsed (66%).
2016-10-17 12:47:24,555 [__main__] - Waiting for the experiment to finish, 44/65 minutes elapsed (68%).
2016-10-17 12:48:24,558 [__main__] - Waiting for the experiment to finish, 45/65 minutes elapsed (69%).
2016-10-17 12:49:24,562 [__main__] - Waiting for the experiment to finish, 46/65 minutes elapsed (71%).
2016-10-17 12:50:24,564 [__main__] - Waiting for the experiment to finish, 47/65 minutes elapsed (72%).
2016-10-17 12:51:24,564 [__main__] - Waiting for the experiment to finish, 48/65 minutes elapsed (74%).
2016-10-17 12:52:24,573 [__main__] - Waiting for the experiment to finish, 49/65 minutes elapsed (75%).
2016-10-17 12:53:24,573 [__main__] - Waiting for the experiment to finish, 50/65 minutes elapsed (77%).
2016-10-17 12:54:24,573 [__main__] - Waiting for the experiment to finish, 51/65 minutes elapsed (78%).
2016-10-17 12:55:24,575 [__main__] - Waiting for the experiment to finish, 52/65 minutes elapsed (80%).
2016-10-17 12:56:24,577 [__main__] - Waiting for the experiment to finish, 53/65 minutes elapsed (82%).
2016-10-17 12:57:24,580 [__main__] - Waiting for the experiment to finish, 54/65 minutes elapsed (83%).
2016-10-17 12:58:24,584 [__main__] - Waiting for the experiment to finish, 55/65 minutes elapsed (85%).
2016-10-17 12:59:24,585 [__main__] - Waiting for the experiment to finish, 56/65 minutes elapsed (86%).
2016-10-17 13:00:24,587 [__main__] - Waiting for the experiment to finish, 57/65 minutes elapsed (88%).
2016-10-17 13:01:24,589 [__main__] - Waiting for the experiment to finish, 58/65 minutes elapsed (89%).
2016-10-17 13:02:24,593 [__main__] - Waiting for the experiment to finish, 59/65 minutes elapsed (91%).
2016-10-17 13:03:24,593 [__main__] - Waiting for the experiment to finish, 60/65 minutes elapsed (92%).
2016-10-17 13:04:24,595 [__main__] - Waiting for the experiment to finish, 61/65 minutes elapsed (94%).
2016-10-17 13:05:24,596 [__main__] - Waiting for the experiment to finish, 62/65 minutes elapsed (95%).
2016-10-17 13:06:24,598 [__main__] - Waiting for the experiment to finish, 63/65 minutes elapsed (97%).
2016-10-17 13:07:24,600 [__main__] - Waiting for the experiment to finish, 64/65 minutes elapsed (98%).
2016-10-17 13:08:24,602 [__main__] - Waiting for the experiment to finish, 65/65 minutes elapsed (100%).
2016-10-17 13:08:24,602 [__main__] - Giving some extra time to memaslap, sleeping for 180 seconds.
2016-10-17 13:14:43,665 [__main__] - Done.
