[INFO ] 2016-11-08 17:57:38.751 [main] UniformHasher - Hasher initialised.
[INFO ] 2016-11-08 17:57:38.753 [main] MiddlewareMain - Starting middleware...
[INFO ] 2016-11-08 17:57:38.753 [main] MiddlewareMain - [load balancer IP]: 10.0.0.6
[INFO ] 2016-11-08 17:57:38.753 [main] MiddlewareMain - [load balancer port]: 11212
[INFO ] 2016-11-08 17:57:38.753 [main] MiddlewareMain - [number of read threads per component]: 64
[INFO ] 2016-11-08 17:57:38.753 [main] MiddlewareMain - [replication factor]: 1
[INFO ] 2016-11-08 17:57:38.753 [main] MiddlewareMain - [memcached addresses]: [10.0.0.12:11211, 10.0.0.4:11211, 10.0.0.11:11211, 10.0.0.8:11211, 10.0.0.5:11211]
[INFO ] 2016-11-08 17:57:38.783 [main] WriteWorker - c0w0 connected to server /10.0.0.12:11211.
[INFO ] 2016-11-08 17:57:38.786 [pool-2-thread-1] WriteWorker - c0w0 started; writing to machines: [0].
[INFO ] 2016-11-08 17:57:38.804 [pool-2-thread-2] ReadWorker - c0r0 started.
[INFO ] 2016-11-08 17:57:38.805 [pool-2-thread-3] ReadWorker - c0r1 started.
[INFO ] 2016-11-08 17:57:38.806 [pool-2-thread-4] ReadWorker - c0r2 started.
[INFO ] 2016-11-08 17:57:38.814 [pool-2-thread-5] ReadWorker - c0r3 started.
[INFO ] 2016-11-08 17:57:38.814 [pool-2-thread-6] ReadWorker - c0r4 started.
[INFO ] 2016-11-08 17:57:38.816 [pool-2-thread-7] ReadWorker - c0r5 started.
[INFO ] 2016-11-08 17:57:38.816 [pool-2-thread-8] ReadWorker - c0r6 started.
[INFO ] 2016-11-08 17:57:38.816 [pool-2-thread-9] ReadWorker - c0r7 started.
[INFO ] 2016-11-08 17:57:38.817 [pool-2-thread-10] ReadWorker - c0r8 started.
[INFO ] 2016-11-08 17:57:38.818 [pool-2-thread-11] ReadWorker - c0r9 started.
[INFO ] 2016-11-08 17:57:38.818 [pool-2-thread-12] ReadWorker - c0r10 started.
[INFO ] 2016-11-08 17:57:38.819 [pool-2-thread-13] ReadWorker - c0r11 started.
[INFO ] 2016-11-08 17:57:38.827 [pool-2-thread-14] ReadWorker - c0r12 started.
[INFO ] 2016-11-08 17:57:38.827 [pool-2-thread-15] ReadWorker - c0r13 started.
