[INFO ] 2016-11-08 17:33:45.454 [pool-2-thread-58] ReadWorker - c0r56 started.
[INFO ] 2016-11-08 17:33:45.455 [pool-2-thread-59] ReadWorker - c0r57 started.
[INFO ] 2016-11-08 17:33:45.462 [pool-2-thread-60] ReadWorker - c0r58 started.
[INFO ] 2016-11-08 17:33:45.463 [pool-2-thread-61] ReadWorker - c0r59 started.
[INFO ] 2016-11-08 17:33:45.464 [pool-2-thread-62] ReadWorker - c0r60 started.
[INFO ] 2016-11-08 17:33:45.465 [pool-2-thread-63] ReadWorker - c0r61 started.
[INFO ] 2016-11-08 17:33:45.466 [pool-2-thread-64] ReadWorker - c0r62 started.
[INFO ] 2016-11-08 17:33:45.474 [main] MiddlewareComponent - MiddlewareComponent #0 initialised.
[INFO ] 2016-11-08 17:33:45.474 [pool-2-thread-65] ReadWorker - c0r63 started.
[INFO ] 2016-11-08 17:33:45.476 [main] WriteWorker - c1w0 connected to server /10.0.0.4:11211.
[INFO ] 2016-11-08 17:33:45.476 [pool-2-thread-66] WriteWorker - c1w0 started; writing to machines: [1].
[INFO ] 2016-11-08 17:33:45.477 [pool-2-thread-67] ReadWorker - c1r0 started.
[INFO ] 2016-11-08 17:33:45.479 [pool-2-thread-68] ReadWorker - c1r1 started.
[INFO ] 2016-11-08 17:33:45.479 [pool-2-thread-69] ReadWorker - c1r2 started.
[INFO ] 2016-11-08 17:33:45.487 [pool-2-thread-70] ReadWorker - c1r3 started.
[INFO ] 2016-11-08 17:33:45.489 [pool-2-thread-71] ReadWorker - c1r4 started.
[INFO ] 2016-11-08 17:33:45.490 [pool-2-thread-72] ReadWorker - c1r5 started.
[INFO ] 2016-11-08 17:33:45.491 [pool-2-thread-73] ReadWorker - c1r6 started.
[INFO ] 2016-11-08 17:33:45.494 [pool-2-thread-75] ReadWorker - c1r8 started.
[INFO ] 2016-11-08 17:33:45.493 [pool-2-thread-74] ReadWorker - c1r7 started.
[INFO ] 2016-11-08 17:33:45.502 [pool-2-thread-76] ReadWorker - c1r9 started.
[INFO ] 2016-11-08 17:33:45.503 [pool-2-thread-77] ReadWorker - c1r10 started.
[INFO ] 2016-11-08 17:33:45.504 [pool-2-thread-78] ReadWorker - c1r11 started.
[INFO ] 2016-11-08 17:33:45.505 [pool-2-thread-79] ReadWorker - c1r12 started.
[INFO ] 2016-11-08 17:33:45.513 [pool-2-thread-80] ReadWorker - c1r13 started.
[INFO ] 2016-11-08 17:33:45.513 [pool-2-thread-81] ReadWorker - c1r14 started.
[INFO ] 2016-11-08 17:33:45.515 [pool-2-thread-83] ReadWorker - c1r16 started.
[INFO ] 2016-11-08 17:33:45.515 [pool-2-thread-82] ReadWorker - c1r15 started.
[INFO ] 2016-11-08 17:33:45.516 [pool-2-thread-84] ReadWorker - c1r17 started.
[INFO ] 2016-11-08 17:33:45.517 [pool-2-thread-85] ReadWorker - c1r18 started.
[INFO ] 2016-11-08 17:33:45.517 [pool-2-thread-86] ReadWorker - c1r19 started.
[INFO ] 2016-11-08 17:33:45.518 [pool-2-thread-87] ReadWorker - c1r20 started.
[INFO ] 2016-11-08 17:33:45.527 [pool-2-thread-88] ReadWorker - c1r21 started.
[INFO ] 2016-11-08 17:33:45.528 [pool-2-thread-89] ReadWorker - c1r22 started.
[INFO ] 2016-11-08 17:33:45.528 [pool-2-thread-90] ReadWorker - c1r23 started.
[INFO ] 2016-11-08 17:33:45.529 [pool-2-thread-91] ReadWorker - c1r24 started.
[INFO ] 2016-11-08 17:33:45.530 [pool-2-thread-92] ReadWorker - c1r25 started.
[INFO ] 2016-11-08 17:33:45.531 [pool-2-thread-93] ReadWorker - c1r26 started.
[INFO ] 2016-11-08 17:33:45.532 [pool-2-thread-95] ReadWorker - c1r28 started.
[INFO ] 2016-11-08 17:33:45.533 [pool-2-thread-96] ReadWorker - c1r29 started.
[INFO ] 2016-11-08 17:33:45.538 [pool-2-thread-94] ReadWorker - c1r27 started.
[INFO ] 2016-11-08 17:33:45.541 [pool-2-thread-97] ReadWorker - c1r30 started.
[INFO ] 2016-11-08 17:33:45.542 [pool-2-thread-98] ReadWorker - c1r31 started.
[INFO ] 2016-11-08 17:33:45.543 [pool-2-thread-99] ReadWorker - c1r32 started.
[INFO ] 2016-11-08 17:33:45.544 [pool-2-thread-100] ReadWorker - c1r33 started.
[INFO ] 2016-11-08 17:33:45.546 [pool-2-thread-102] ReadWorker - c1r35 started.
[INFO ] 2016-11-08 17:33:45.546 [pool-2-thread-103] ReadWorker - c1r36 started.
[INFO ] 2016-11-08 17:33:45.548 [pool-2-thread-105] ReadWorker - c1r38 started.
[INFO ] 2016-11-08 17:33:45.545 [pool-2-thread-101] ReadWorker - c1r34 started.
[INFO ] 2016-11-08 17:33:45.548 [pool-2-thread-104] ReadWorker - c1r37 started.
[INFO ] 2016-11-08 17:33:45.560 [pool-2-thread-106] ReadWorker - c1r39 started.
[INFO ] 2016-11-08 17:33:45.561 [pool-2-thread-107] ReadWorker - c1r40 started.
[INFO ] 2016-11-08 17:33:45.562 [pool-2-thread-108] ReadWorker - c1r41 started.
[INFO ] 2016-11-08 17:33:45.563 [pool-2-thread-109] ReadWorker - c1r42 started.
[INFO ] 2016-11-08 17:33:45.572 [pool-2-thread-110] ReadWorker - c1r43 started.
[INFO ] 2016-11-08 17:33:45.573 [pool-2-thread-111] ReadWorker - c1r44 started.
[INFO ] 2016-11-08 17:33:45.574 [pool-2-thread-112] ReadWorker - c1r45 started.
[INFO ] 2016-11-08 17:33:45.575 [pool-2-thread-113] ReadWorker - c1r46 started.
[INFO ] 2016-11-08 17:33:45.576 [pool-2-thread-114] ReadWorker - c1r47 started.
[INFO ] 2016-11-08 17:33:45.584 [pool-2-thread-115] ReadWorker - c1r48 started.
[INFO ] 2016-11-08 17:33:45.585 [pool-2-thread-116] ReadWorker - c1r49 started.
[INFO ] 2016-11-08 17:33:45.587 [pool-2-thread-117] ReadWorker - c1r50 started.
[INFO ] 2016-11-08 17:33:45.588 [pool-2-thread-118] ReadWorker - c1r51 started.
[INFO ] 2016-11-08 17:33:45.589 [pool-2-thread-119] ReadWorker - c1r52 started.
[INFO ] 2016-11-08 17:33:45.597 [pool-2-thread-120] ReadWorker - c1r53 started.
[INFO ] 2016-11-08 17:33:45.599 [pool-2-thread-121] ReadWorker - c1r54 started.
[INFO ] 2016-11-08 17:33:45.600 [pool-2-thread-122] ReadWorker - c1r55 started.
[INFO ] 2016-11-08 17:33:45.601 [pool-2-thread-123] ReadWorker - c1r56 started.
[INFO ] 2016-11-08 17:33:45.602 [pool-2-thread-124] ReadWorker - c1r57 started.
[INFO ] 2016-11-08 17:33:45.610 [pool-2-thread-125] ReadWorker - c1r58 started.
[INFO ] 2016-11-08 17:33:45.612 [pool-2-thread-127] ReadWorker - c1r60 started.
[INFO ] 2016-11-08 17:33:45.613 [pool-2-thread-128] ReadWorker - c1r61 started.
[INFO ] 2016-11-08 17:33:45.611 [pool-2-thread-126] ReadWorker - c1r59 started.
[INFO ] 2016-11-08 17:33:45.614 [pool-2-thread-129] ReadWorker - c1r62 started.
[INFO ] 2016-11-08 17:33:45.623 [main] MiddlewareComponent - MiddlewareComponent #1 initialised.
[INFO ] 2016-11-08 17:33:45.623 [pool-2-thread-130] ReadWorker - c1r63 started.
[INFO ] 2016-11-08 17:33:45.624 [main] WriteWorker - c2w0 connected to server /10.0.0.11:11211.
[INFO ] 2016-11-08 17:33:45.625 [pool-2-thread-131] WriteWorker - c2w0 started; writing to machines: [2].
[INFO ] 2016-11-08 17:33:45.627 [pool-2-thread-132] ReadWorker - c2r0 started.
[INFO ] 2016-11-08 17:33:45.634 [pool-2-thread-133] ReadWorker - c2r1 started.
[INFO ] 2016-11-08 17:33:45.636 [pool-2-thread-134] ReadWorker - c2r2 started.
[INFO ] 2016-11-08 17:33:45.636 [pool-2-thread-135] ReadWorker - c2r3 started.
[INFO ] 2016-11-08 17:33:45.637 [pool-2-thread-136] ReadWorker - c2r4 started.
