memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;32853;3285;0;315;190253;3664;6133.69
7;t;GET;20;34781;3478;0;296;122110;3461;5066.65
7;t;GET;30;36229;3622;0;291;125719;3323;4947.67
7;t;GET;40;34316;3431;0;308;206601;3507;6158.85
7;t;GET;50;34598;3459;0;307;205658;3489;5370.78
7;t;GET;60;35749;3574;0;321;416462;3380;8707.46
7;t;GET;70;31068;3106;0;312;1336465;3892;25180.30
7;t;GET;80;31950;3195;0;326;466807;3776;10112.97
7;t;GET;90;35089;3508;0;333;156897;3451;5687.53
7;t;GET;100;34783;3478;0;308;117884;3475;5127.96
7;t;GET;110;35283;3528;0;320;116740;3426;4684.22
7;t;GET;120;35206;3520;0;324;222440;3430;6028.45
7;t;GET;130;33607;3360;0;295;535555;3597;10346.43
7;t;GET;140;33533;3353;0;335;166523;3605;6602.24
7;t;GET;150;35164;3516;0;315;136615;3436;5128.72
7;t;GET;160;36035;3603;0;307;186502;3354;5245.69
7;t;GET;170;34523;3452;0;300;126047;3504;5068.27
7;t;GET;180;34970;3497;0;343;66489;3454;4108.78
7;t;GET;190;36171;3617;0;288;66385;3341;4117.30
7;t;GET;200;34015;3401;0;306;178736;3554;6501.77
7;t;GET;210;33613;3361;0;327;373095;3594;8917.80
7;t;GET;220;32091;3209;0;312;485179;3769;12365.59
7;t;GET;230;36506;3650;0;301;88166;3310;4123.72
7;t;GET;240;36335;3633;0;304;127892;3327;4515.34
7;t;GET;250;36246;3624;0;310;242144;3333;4744.34
7;t;GET;260;35374;3537;0;301;134061;3403;4724.79
7;t;GET;270;35149;3514;0;278;126946;3426;4926.36
7;t;GET;280;36456;3645;0;280;46891;3298;3805.52
7;t;GET;290;35752;3575;0;290;180544;3370;5309.59
7;t;GET;300;34014;3401;0;292;363359;3538;8334.80
7;t;GET;310;35937;3593;0;303;84930;3351;4107.02
7;t;GET;320;33878;3387;0;328;279219;3552;6841.93
