filename;client_no;concurrency;repetition;total_events;run_time;ops;tps;net_rate;tmin;tmax;tavg;tgeo;tstd
results/baseline/baseline_memaslap2_conc056_rep02.out;2;56;2;956098;60.2;956126;15870;2.8;157;111394;1760;1349;1733
results/baseline/baseline_memaslap2_conc056_rep03.out;2;56;3;982327;60.3;982355;16297;2.9;158;112797;1714;1327;1789
results/baseline/baseline_memaslap2_conc056_rep04.out;2;56;4;961378;60.3;961406;15951;2.8;153;146557;1751;1340;2147
results/baseline/baseline_memaslap2_conc064_rep00.out;2;64;0;1035594;60.2;1035626;17191;3.1;121;144132;1857;1425;2040
results/baseline/baseline_memaslap2_conc064_rep01.out;2;64;1;1039996;60.5;1040028;17193;3.1;167;97259;1856;1418;1850
results/baseline/baseline_memaslap2_conc064_rep02.out;2;64;2;1043757;60.2;1043789;17327;3.1;181;112049;1842;1413;1897
results/baseline/baseline_memaslap2_conc064_rep03.out;2;64;3;969690;60.2;969722;16096;2.9;164;131301;1983;1473;2147
results/baseline/baseline_memaslap2_conc064_rep04.out;2;64;4;992014;60.2;992046;16468;2.9;155;64849;1938;1457;1826
results/baseline/baseline_memaslap2_conc072_rep00.out;2;72;0;1022948;60.3;1022984;16977;3.0;157;112834;2115;1576;2096
results/baseline/baseline_memaslap2_conc072_rep01.out;2;72;1;1057220;60.3;1057256;17530;3.1;189;137509;2049;1531;2237
results/baseline/baseline_memaslap2_conc072_rep02.out;2;72;2;1004666;60.2;1004702;16679;3.0;175;86072;2153;1581;2240
results/baseline/baseline_memaslap2_conc072_rep03.out;2;72;3;1013671;60.2;1013707;16826;3.0;180;67030;2135;1539;2132
results/baseline/baseline_memaslap2_conc072_rep04.out;2;72;4;1057746;60.2;1057782;17558;3.1;137;103085;2045;1544;2133
results/baseline/baseline_memaslap2_conc080_rep00.out;2;80;0;1106828;60.2;1106868;18374;3.3;175;97259;2172;1647;2062
results/baseline/baseline_memaslap2_conc080_rep01.out;2;80;1;1054357;60.2;1054397;17503;3.1;165;161660;2280;1686;2554
results/baseline/baseline_memaslap2_conc080_rep02.out;2;80;2;1029610;60.3;1029650;17071;3.0;187;205442;2337;1718;2506
results/baseline/baseline_memaslap2_conc080_rep03.out;2;80;3;1050906;60.3;1050946;17439;3.1;157;87411;2287;1691;2282
results/baseline/baseline_memaslap2_conc080_rep04.out;2;80;4;1104150;60.3;1104190;18303;3.3;163;111235;2180;1642;2119
results/baseline/baseline_memaslap2_conc088_rep00.out;2;88;0;1070819;60.2;1070863;17776;3.2;199;63880;2468;1817;2271
results/baseline/baseline_memaslap2_conc088_rep01.out;2;88;1;1150631;60.2;1150675;19101;3.4;164;99274;2296;1713;2289
results/baseline/baseline_memaslap2_conc088_rep02.out;2;88;2;1086951;60.2;1086995;18044;3.2;179;147220;2432;1793;2581
results/baseline/baseline_memaslap2_conc088_rep03.out;2;88;3;1039310;60.2;1039354;17253;3.1;142;147780;2543;1857;2598
results/baseline/baseline_memaslap2_conc088_rep04.out;2;88;4;1089002;60.2;1089046;18078;3.2;190;144358;2427;1796;2506
results/baseline/baseline_memaslap2_conc096_rep00.out;2;96;0;1125058;60.3;1125106;18657;3.3;174;107529;2566;1891;2451
results/baseline/baseline_memaslap2_conc096_rep01.out;2;96;1;1076056;60.3;1076104;17860;3.2;197;97459;2680;1952;2530
results/baseline/baseline_memaslap2_conc096_rep02.out;2;96;2;1086629;60.3;1086677;18016;3.2;143;143322;2655;1935;2688
results/baseline/baseline_memaslap2_conc096_rep03.out;2;96;3;1047707;60.2;1047755;17394;3.1;168;414588;2753;2005;2892
results/baseline/baseline_memaslap2_conc096_rep04.out;2;96;4;1131966;60.2;1132014;18792;3.3;162;146492;2546;1876;2524
results/baseline/baseline_memaslap2_conc104_rep00.out;2;104;0;1074395;60.2;1074447;17836;3.2;189;94624;2907;2105;2685
results/baseline/baseline_memaslap2_conc104_rep01.out;2;104;1;1112767;60.2;1112819;18473;3.3;192;111105;2806;2042;2838
results/baseline/baseline_memaslap2_conc104_rep02.out;2;104;2;1149087;60.2;1149139;19073;3.4;173;66071;2719;2013;2396
results/baseline/baseline_memaslap2_conc104_rep03.out;2;104;3;1161634;60.2;1161686;19282;3.4;149;159321;2689;1985;2683
results/baseline/baseline_memaslap2_conc104_rep04.out;2;104;4;1100618;60.5;1100670;18187;3.2;190;81645;2850;2064;2615
results/baseline/baseline_memaslap2_conc112_rep00.out;2;112;0;1151589;60.3;1151645;19086;3.4;164;80339;2925;2132;2679
results/baseline/baseline_memaslap2_conc112_rep01.out;2;112;1;1160745;60.2;1160801;19269;3.4;171;103444;2897;2114;2696
results/baseline/baseline_memaslap2_conc112_rep02.out;2;112;2;1128171;60.3;1128227;18704;3.3;173;113500;2985;2179;2777
results/baseline/baseline_memaslap2_conc112_rep03.out;2;112;3;1172222;60.2;1172278;19458;3.5;189;69035;2870;2102;2564
results/baseline/baseline_memaslap2_conc112_rep04.out;2;112;4;1118218;60.5;1118274;18486;3.3;174;159524;3021;2176;3082
results/baseline/baseline_memaslap2_conc120_rep00.out;2;120;0;1186214;60.5;1186274;19610;3.5;188;83021;3050;2214;2798
results/baseline/baseline_memaslap2_conc120_rep01.out;2;120;1;1110934;60.2;1110994;18443;3.3;154;148166;3244;2326;3048
results/baseline/baseline_memaslap2_conc120_rep02.out;2;120;2;1166284;60.3;1166344;19349;3.4;199;208884;3091;2249;2962
results/baseline/baseline_memaslap2_conc120_rep03.out;2;120;3;1144973;60.3;1145033;18996;3.4;174;130826;3149;2284;3186
results/baseline/baseline_memaslap2_conc120_rep04.out;2;120;4;1149068;60.2;1149128;19077;3.4;173;99434;3136;2272;3018
results/baseline/baseline_memaslap2_conc128_rep00.out;2;128;0;1144890;60.2;1144954;19005;3.4;191;144370;3359;2419;3563
results/baseline/baseline_memaslap2_conc128_rep01.out;2;128;1;1150015;60.5;1150079;19016;3.4;206;146615;3355;2440;3141
results/baseline/baseline_memaslap2_conc128_rep02.out;2;128;2;1169996;60.2;1170060;19423;3.5;180;62813;3287;2386;2903
results/baseline/baseline_memaslap2_conc128_rep03.out;2;128;3;1091077;60.2;1091141;18112;3.2;186;84092;3525;2523;3189
results/baseline/baseline_memaslap2_conc128_rep04.out;2;128;4;996672;60.5;996736;16464;2.9;186;92857;3880;2551;3589
