type,flag,timeCreated,timeEnqueued,timeDequeued,timeForwarded,timeReceived,timeReturned
SET,STORED,1478622544910,1478622544910,1478622544929,1478622544929,1478622544930,1478622544930
SET,STORED,1478622545039,1478622545039,1478622545039,1478622545039,1478622545040,1478622545040
SET,STORED,1478622545139,1478622545139,1478622545140,1478622545140,1478622545140,1478622545140
SET,STORED,1478622545249,1478622545249,1478622545259,1478622545259,1478622545260,1478622545260
SET,STORED,1478622545324,1478622545324,1478622545326,1478622545326,1478622545326,1478622545326
SET,STORED,1478622545385,1478622545385,1478622545387,1478622545387,1478622545388,1478622545388
SET,STORED,1478622545504,1478622545504,1478622545517,1478622545517,1478622545774,1478622545774
SET,STORED,1478622545811,1478622545811,1478622545831,1478622545831,1478622545832,1478622545832
SET,STORED,1478622545861,1478622545861,1478622545871,1478622545871,1478622545872,1478622545872
SET,STORED,1478622545903,1478622545903,1478622545921,1478622545921,1478622545922,1478622545922
SET,STORED,1478622545948,1478622545948,1478622545962,1478622545962,1478622545963,1478622545963
SET,STORED,1478622546001,1478622546001,1478622546026,1478622546026,1478622546026,1478622546026
SET,STORED,1478622546042,1478622546042,1478622546046,1478622546046,1478622546047,1478622546047
SET,STORED,1478622546090,1478622546090,1478622546100,1478622546101,1478622546115,1478622546115
SET,STORED,1478622546250,1478622546250,1478622546266,1478622546266,1478622546266,1478622546266
SET,STORED,1478622546289,1478622546289,1478622546306,1478622546306,1478622546306,1478622546306
SET,STORED,1478622546334,1478622546334,1478622546347,1478622546347,1478622546347,1478622546347
SET,STORED,1478622546403,1478622546403,1478622546411,1478622546411,1478622546411,1478622546411
SET,STORED,1478622546452,1478622546452,1478622546457,1478622546457,1478622546457,1478622546457
SET,STORED,1478622546494,1478622546494,1478622546498,1478622546498,1478622546498,1478622546498
SET,STORED,1478622546542,1478622546542,1478622546546,1478622546547,1478622546547,1478622546547
SET,STORED,1478622546624,1478622546624,1478622546639,1478622546639,1478622546639,1478622546639
SET,STORED,1478622546674,1478622546674,1478622546687,1478622546687,1478622546687,1478622546687
SET,STORED,1478622546714,1478622546714,1478622546718,1478622546718,1478622546718,1478622546718
SET,STORED,1478622546754,1478622546754,1478622546755,1478622546755,1478622546755,1478622546755
SET,STORED,1478622546803,1478622546803,1478622546808,1478622546808,1478622546808,1478622546808
SET,STORED,1478622546845,1478622546845,1478622546855,1478622546855,1478622546856,1478622546856
SET,STORED,1478622546893,1478622546893,1478622546895,1478622546895,1478622546895,1478622546895
SET,STORED,1478622546932,1478622546932,1478622546936,1478622546936,1478622546936,1478622546936
SET,STORED,1478622546969,1478622546969,1478622546990,1478622546990,1478622546990,1478622546990
SET,STORED,1478622547019,1478622547019,1478622547042,1478622547042,1478622547042,1478622547042
SET,STORED,1478622547058,1478622547058,1478622547065,1478622547065,1478622547065,1478622547065
SET,STORED,1478622547108,1478622547108,1478622547111,1478622547111,1478622547115,1478622547115
SET,STORED,1478622547148,1478622547148,1478622547150,1478622547150,1478622547151,1478622547151
SET,STORED,1478622547187,1478622547187,1478622547195,1478622547195,1478622547195,1478622547195
SET,STORED,1478622547215,1478622547215,1478622547219,1478622547219,1478622547219,1478622547219
SET,STORED,1478622547264,1478622547264,1478622547278,1478622547278,1478622547279,1478622547279
SET,STORED,1478622547303,1478622547303,1478622547316,1478622547316,1478622547316,1478622547316
SET,STORED,1478622547343,1478622547343,1478622547366,1478622547366,1478622547367,1478622547367
SET,STORED,1478622547392,1478622547392,1478622547406,1478622547406,1478622547407,1478622547407
SET,STORED,1478622547441,1478622547441,1478622547463,1478622547463,1478622547463,1478622547463
SET,STORED,1478622547488,1478622547488,1478622547492,1478622547492,1478622547492,1478622547492
SET,STORED,1478622547553,1478622547553,1478622547558,1478622547558,1478622547558,1478622547558
SET,STORED,1478622547594,1478622547594,1478622547598,1478622547598,1478622547599,1478622547599
SET,STORED,1478622547633,1478622547633,1478622547658,1478622547658,1478622547659,1478622547659
SET,STORED,1478622547693,1478622547693,1478622547715,1478622547715,1478622547715,1478622547715
SET,STORED,1478622547742,1478622547742,1478622547763,1478622547763,1478622547764,1478622547764
SET,STORED,1478622547782,1478622547782,1478622547796,1478622547796,1478622547796,1478622547796
SET,STORED,1478622547831,1478622547831,1478622547836,1478622547836,1478622547836,1478622547837
SET,STORED,1478622547881,1478622547881,1478622547886,1478622547886,1478622547886,1478622547886
SET,STORED,1478622547921,1478622547921,1478622547933,1478622547933,1478622547934,1478622547934
SET,STORED,1478622547960,1478622547960,1478622547980,1478622547980,1478622547981,1478622547981
SET,STORED,1478622548010,1478622548010,1478622548032,1478622548032,1478622548032,1478622548032
SET,STORED,1478622548052,1478622548052,1478622548070,1478622548070,1478622548071,1478622548071
SET,STORED,1478622548099,1478622548099,1478622548110,1478622548110,1478622548110,1478622548110
SET,STORED,1478622548139,1478622548139,1478622548145,1478622548145,1478622548145,1478622548145
SET,STORED,1478622548179,1478622548179,1478622548193,1478622548193,1478622548194,1478622548194
