memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;90778;9077;0;414;397802;15954;17786.20
7;t;GET;20;60219;6021;0;937;450825;22074;23353.56
7;t;GET;30;72801;7280;0;858;1892711;21615;46769.22
7;t;GET;40;72234;7223;0;503;989098;20091;20750.71
7;t;GET;50;72560;7256;0;794;744122;20013;19923.01
7;t;GET;60;75852;7585;0;1029;246569;19110;14792.39
7;t;GET;70;75053;7505;0;792;284121;19247;19125.78
7;t;GET;80;65205;6520;0;863;1044703;22386;42373.66
7;t;GET;90;71978;7197;0;690;386816;19997;23275.05
7;t;GET;100;67296;6729;0;1168;565752;21743;32490.79
7;t;GET;110;66468;6646;0;794;558514;21834;31917.82
7;t;GET;120;64649;6464;0;808;2591387;22456;74734.90
7;t;GET;130;76937;7693;0;915;275365;18863;16526.47
7;t;GET;140;72038;7203;0;1086;505354;20148;23604.15
7;t;GET;150;62640;6264;0;1318;422455;23166;33364.69
7;t;GET;160;60421;6042;0;940;2777974;24027;87350.69
7;t;GET;170;69539;6953;0;1011;691218;20674;34609.92
7;t;GET;180;67442;6744;0;740;1361655;21522;29916.21
7;t;GET;190;66514;6651;0;980;406209;21983;22751.87
7;t;GET;200;51713;5171;0;995;2047310;27948;85471.60
7;t;GET;210;62078;6207;0;1020;656089;20755;23390.22
7;t;GET;220;53908;5390;0;869;2450139;29736;103891.74
7;t;GET;230;69361;6936;0;1061;400681;20825;25368.37
7;t;GET;240;68474;6847;0;821;594989;21132;30266.00
7;t;GET;250;68870;6887;0;919;1322771;20997;48429.10
7;t;GET;260;68219;6821;0;1050;298096;21175;22498.53
7;t;GET;270;62889;6288;0;854;354780;22995;34808.08
7;t;GET;280;61820;6182;0;909;1781884;23342;62527.24
7;t;GET;290;64477;6447;0;877;997031;22167;32546.33
7;t;GET;300;71675;7167;0;640;386454;20395;26307.21
7;t;GET;310;66258;6625;0;504;558363;21859;32123.60
7;t;GET;320;67492;6749;0;876;488288;21421;26984.16
7;t;GET;330;59218;5921;0;1123;1191188;24409;49870.28
7;t;GET;340;71773;7177;0;798;432578;20112;24547.62
7;t;GET;350;71868;7186;0;929;1733857;20126;46825.47
7;t;GET;360;64086;6408;0;624;705608;22466;36297.23
7;t;GET;360;64086;6408;0;624;705608;22466;36297.23
7;global;GET;362.2;64086;6408;0;414;2777974;21418;40825
8;t;GET;10;62564;6256;0;1103;458708;23096;24306.78
8;t;GET;20;64405;6440;0;906;1015271;22492;47285.18
8;t;GET;30;68588;6858;0;743;990661;21100;22044.81
8;t;GET;40;73493;7349;0;1027;235964;19648;14581.55
8;t;GET;50;70842;7084;0;1069;740874;20420;19322.42
8;t;GET;60;72863;7286;0;894;284019;19819;18757.68
8;t;GET;70;60947;6094;0;1140;1046395;23748;44945.96
8;t;GET;80;71365;7136;0;745;386736;20259;21803.29
8;t;GET;90;64460;6446;0;847;566056;22417;33660.51
8;t;GET;100;62515;6251;0;1003;536406;23059;33821.20
8;t;GET;110;62827;6282;0;803;2590775;23073;71544.90
8;t;GET;120;72700;7270;0;1047;279161;19883;18399.44
8;t;GET;130;69264;6926;0;1363;513971;20847;24286.43
8;t;GET;140;60983;6098;0;1240;421448;23617;33153.43
8;t;GET;150;59290;5929;0;913;2767401;24508;86878.34
8;t;GET;160;73389;7338;0;884;377771;19695;17577.60
8;t;GET;170;62274;6227;0;1030;1373040;23203;43044.94
8;t;GET;180;61619;6161;0;1202;398877;23463;25779.51
8;t;GET;190;54642;5464;0;962;2286030;26454;82045.02
8;t;GET;200;64235;6423;0;976;599956;22500;32659.01
8;t;GET;210;42227;4222;0;750;2450482;34219;119539.12
8;t;GET;220;66667;6666;0;708;400596;21711;25915.70
8;t;GET;230;71461;7146;0;962;368217;20204;19719.25
8;t;GET;240;64822;6482;0;882;1246314;22071;44980.57
8;t;GET;250;63586;6358;0;772;1344722;22975;39512.27
8;t;GET;260;64838;6483;0;1006;328050;22291;28787.16
8;t;GET;270;57966;5796;0;1000;2459558;24955;67503.93
8;t;GET;280;63115;6311;0;1162;877558;22908;34778.75
8;t;GET;290;64409;6440;0;1028;535671;22447;29979.29
8;t;GET;300;66711;6671;0;820;531713;21662;30570.93
8;t;GET;310;66649;6664;0;967;488692;21686;26535.36
8;t;GET;320;61362;6136;0;952;975908;23501;26965.21
8;t;GET;330;61426;6142;0;510;1210830;23593;49691.43
8;t;GET;340;71925;7192;0;1163;1362200;20104;43905.85
8;t;GET;350;67492;6749;0;588;298773;21419;22810.86
8;t;GET;360;111511;11151;0;677;1225091;12799;28821.69
8;t;GET;360;111511;11151;0;677;1225091;12799;28821.69
8;global;GET;361.5;111511;11151;0;510;2767401;21873;41281
9;t;GET;10;79834;7983;0;796;398170;18153;19145.68
9;t;GET;20;58213;5821;0;1166;1922108;24918;55511.38
9;t;GET;30;72564;7256;0;621;269667;20006;12573.24
9;t;GET;40;68462;6846;0;769;774947;21200;20702.65
9;t;GET;50;69938;6993;0;766;740917;20742;20535.90
9;t;GET;60;73695;7369;0;916;242987;19710;14902.29
9;t;GET;70;69525;6952;0;870;286421;20228;19958.33
9;t;GET;80;66141;6614;0;1011;1138111;22552;42423.97
9;t;GET;90;67345;6734;0;930;518088;21582;28901.21
9;t;GET;100;61700;6170;0;952;565325;23375;37492.65
9;t;GET;110;69409;6940;0;976;344019;20924;22309.30
9;t;GET;120;61986;6198;0;1062;2635449;23329;73380.80
9;t;GET;130;69956;6995;0;771;498575;20666;22846.96
9;t;GET;140;69905;6990;0;1328;421363;20675;24200.75
9;t;GET;150;58556;5855;0;1402;573431;24700;37687.20
9;t;GET;160;64181;6418;0;915;2784613;22519;80806.22
9;t;GET;170;63547;6354;0;1133;1254633;22738;41853.59
9;t;GET;180;65890;6589;0;933;397589;21949;25039.52
9;t;GET;190;61959;6195;0;968;281133;23333;22677.92
9;t;GET;200;51696;5169;0;1084;2274480;27963;85949.74
9;t;GET;210;56579;5657;0;1384;1523643;25030;74948.70
9;t;GET;220;54465;5446;0;1141;2450953;27082;75251.55
9;t;GET;230;67602;6760;0;1104;399393;21384;25241.78
9;t;GET;240;61325;6132;0;1348;1070725;23467;46314.66
9;t;GET;250;68313;6831;0;890;1344944;20976;37759.09
9;t;GET;260;69586;6958;0;693;250012;21050;19486.09
9;t;GET;270;58164;5816;0;1229;359798;24835;37026.24
9;t;GET;280;60240;6024;0;1235;2456457;23945;64497.81
9;t;GET;290;60849;6084;0;940;1006969;23705;37502.62
9;t;GET;300;69543;6954;0;877;555811;20891;22994.16
9;t;GET;310;59720;5972;0;962;566687;24168;39007.29
9;t;GET;320;68302;6830;0;786;218234;20926;19639.84
9;t;GET;330;58418;5841;0;808;1201588;25071;49392.83
9;t;GET;340;71114;7111;0;622;421583;20332;24518.53
9;t;GET;350;70211;7021;0;747;1350788;20594;44853.15
9;t;GET;360;58881;5888;0;774;1438546;24550;41725.18
9;t;GET;360;58881;5888;0;774;1438546;24550;41725.18
9;global;GET;361.8;58881;5888;0;621;2784613;22283;41534
