memaslap_number;type;request_type;time;ops;tps;get_misses;min;max;avg;std
7;t;GET;10;56686;5668;0;1551;1060502;33961;72520.23
7;t;GET;20;61758;6175;0;1191;2127009;31215;65009.84
7;t;GET;30;59768;5976;0;1261;1524044;32233;87026.74
7;t;GET;40;64315;6431;0;1684;584834;29906;37731.20
7;t;GET;50;65464;6546;0;1254;583969;29173;35939.68
7;t;GET;60;61271;6127;0;1355;2298237;31821;81058.26
7;t;GET;70;57564;5756;0;1508;2116545;33452;63822.43
7;t;GET;80;61092;6109;0;732;396554;31558;38958.63
7;t;GET;90;46262;4626;0;1078;1769490;41377;115072.27
7;t;GET;100;70039;7003;0;608;2725929;27691;42078.20
7;t;GET;110;70413;7041;0;1338;238629;27364;23482.77
7;t;GET;120;65054;6505;0;2112;574310;29660;39602.43
7;t;GET;130;65270;6527;0;1690;525047;29518;33200.40
7;t;GET;140;72312;7231;0;1456;346553;26678;27499.88
7;t;GET;150;68786;6878;0;1625;283856;28026;24402.96
7;t;GET;160;58216;5821;0;1053;1074658;33091;51426.98
7;t;GET;170;66568;6656;0;1142;1184582;28941;63179.24
7;t;GET;180;70597;7059;0;1392;774823;27316;26475.43
7;t;GET;190;60813;6081;0;664;1400959;31692;66159.74
7;t;GET;200;52353;5235;0;1302;2232823;35779;102951.25
7;t;GET;210;52574;5257;0;1346;2542887;37181;104779.08
7;t;GET;220;39062;3906;0;707;4023154;50018;164040.48
7;t;GET;230;57906;5790;0;1764;1264200;32506;67705.23
7;t;GET;240;55639;5563;0;1152;1953258;33314;79224.70
7;t;GET;250;62437;6243;0;937;3071123;32811;76929.78
7;t;GET;260;71364;7136;0;1291;440713;27023;30885.15
7;t;GET;270;50640;5064;0;2088;2745764;38018;85684.54
7;t;GET;280;71340;7134;0;1058;434845;27092;29302.56
7;t;GET;290;57744;5774;0;1102;792900;28662;32889.84
7;t;GET;300;62463;6246;0;1094;4246261;35309;151206.16
7;t;GET;310;61371;6137;0;797;1287169;31229;49474.34
7;t;GET;320;54155;5415;0;1543;2198073;35793;81055.87
7;t;GET;330;60239;6023;0;735;1135325;32017;54659.53
7;t;GET;340;40304;4030;0;1382;2388774;47762;187477.50
7;t;GET;350;55338;5533;0;1443;3157564;33578;89154.91
7;t;GET;360;82419;8241;0;665;1369809;24250;51488.13
7;t;GET;360;82419;8241;0;665;1369809;24250;51488.13
7;global;GET;361.5;82419;8241;0;608;4246261;31692;73000
8;t;GET;10;59189;5918;0;1247;1060965;32145;71153.11
8;t;GET;20;64614;6461;0;1245;2099767;30389;61676.77
8;t;GET;30;66489;6648;0;1524;638901;28925;38449.47
8;t;GET;40;60349;6034;0;1892;2445338;31977;86255.17
8;t;GET;50;59296;5929;0;1518;1044857;32955;47800.64
8;t;GET;60;63842;6384;0;1371;2345739;30287;77946.00
8;t;GET;70;61754;6175;0;1736;1171548;30963;56899.42
8;t;GET;80;56495;5649;0;1243;1554592;34670;49630.86
8;t;GET;90;55652;5565;0;738;1734509;34760;77071.62
8;t;GET;100;58136;5813;0;1679;2697651;33297;82945.44
8;t;GET;110;76386;7638;0;1357;285100;25317;17470.00
8;t;GET;120;68216;6821;0;2116;319207;28387;29748.65
8;t;GET;130;60291;6029;0;2535;574361;32097;45412.75
8;t;GET;140;72001;7200;0;1271;348796;26803;28099.12
8;t;GET;150;74764;7476;0;1384;251545;25755;18580.66
8;t;GET;160;58146;5814;0;986;1075122;33187;48089.96
8;t;GET;170;59586;5958;0;1961;1184072;32351;70994.21
8;t;GET;180;72377;7237;0;1286;763219;26637;25101.23
8;t;GET;190;63089;6308;0;1337;1383695;30546;63641.76
8;t;GET;200;53700;5370;0;985;2222937;35915;100501.83
8;t;GET;210;51005;5100;0;990;2542696;37783;107199.19
8;t;GET;220;43620;4362;0;859;5798760;43721;156313.64
8;t;GET;230;53487;5348;0;1988;1266549;36376;77482.68
8;t;GET;240;65604;6560;0;1293;602251;29090;39021.79
8;t;GET;250;51008;5100;0;1318;3077124;38228;111941.14
8;t;GET;260;65679;6567;0;995;613477;29341;37810.57
8;t;GET;270;57529;5752;0;2157;2753467;33440;79953.10
8;t;GET;280;68326;6832;0;1352;438998;28261;29544.55
8;t;GET;290;66568;6656;0;1194;326678;28359;30522.54
8;t;GET;300;51214;5121;0;1437;4562958;38400;167990.87
8;t;GET;310;63932;6393;0;1119;1296023;30092;48588.20
8;t;GET;320;50706;5070;0;1954;1772876;37327;82183.56
8;t;GET;330;64158;6415;0;691;2236137;30643;48671.46
8;t;GET;340;52002;5200;0;1572;2377245;37072;98531.23
8;t;GET;350;47134;4713;0;1558;2369254;40902;165433.71
8;t;GET;360;58642;5864;0;1168;1286130;32843;74418.53
8;t;GET;360;58642;5864;0;1168;1286130;32843;74418.53
8;global;GET;362.0;58642;5864;0;691;5798760;31951;73645
9;t;GET;10;59603;5960;0;846;1109831;32088;70174.54
9;t;GET;20;63820;6382;0;1150;1636709;30413;58858.53
9;t;GET;30;66258;6625;0;1420;640068;29110;38375.64
9;t;GET;40;60329;6032;0;1294;2118136;32065;85299.40
9;t;GET;50;57637;5763;0;1665;584327;33589;48220.60
9;t;GET;60;63971;6397;0;1622;2453468;30252;78077.70
9;t;GET;70;61637;6163;0;1664;895861;31040;56646.18
9;t;GET;80;55487;5548;0;1452;2122421;35252;50974.57
9;t;GET;90;55232;5523;0;969;1662090;35045;77449.75
9;t;GET;100;57943;5794;0;802;2710086;33375;85373.46
9;t;GET;110;76480;7648;0;1705;284988;25321;17155.31
9;t;GET;120;66621;6662;0;2219;307455;28494;27858.41
9;t;GET;130;60420;6042;0;2666;574503;32571;46992.98
9;t;GET;140;71325;7132;0;1518;349508;27178;28228.99
9;t;GET;150;74141;7414;0;1403;286705;26118;18660.22
9;t;GET;160;58351;5835;0;905;1277926;33145;49384.04
9;t;GET;170;59852;5985;0;1890;1208734;32333;70722.63
9;t;GET;180;71873;7187;0;1228;774495;26942;25431.33
9;t;GET;190;63330;6333;0;738;1334568;30544;62818.78
9;t;GET;200;53962;5396;0;1285;2275482;35865;100159.42
9;t;GET;210;50829;5082;0;913;1616495;38063;106901.07
9;t;GET;220;43275;4327;0;899;3985001;44693;154671.52
9;t;GET;230;52368;5236;0;1855;1256030;36442;77742.16
9;t;GET;240;64695;6469;0;1474;2373812;29228;40392.57
9;t;GET;250;51223;5122;0;1249;3078561;38335;110497.27
9;t;GET;260;66299;6629;0;1361;429470;29430;37441.20
9;t;GET;270;57195;5719;0;2068;2736428;33663;80279.44
9;t;GET;280;67620;6762;0;1295;438758;28530;29450.65
9;t;GET;290;65042;6504;0;1044;372075;29597;34677.74
9;t;GET;300;51811;5181;0;972;5007581;37256;166933.77
9;t;GET;310;63304;6330;0;1222;1296322;30449;48806.87
9;t;GET;320;50368;5036;0;1583;1831725;38270;84555.69
9;t;GET;330;63644;6364;0;809;1120614;30134;45472.44
9;t;GET;340;50647;5064;0;1662;2379220;37674;99379.83
9;t;GET;350;47985;4798;0;1765;2365436;40747;163815.11
9;t;GET;360;57608;5760;0;1016;1358725;33500;75122.31
9;t;GET;360;57608;5760;0;1016;1358725;33500;75122.31
9;global;GET;362.2;57607;5760;0;738;5007581;32160;73679
